,text
0,"This is more after the date, but he didn't play any mind games and texted me that same night saying he had a great time. Was refreshing for me"
1,"We really, really don't want you to try to show us you're a good dude by GeTtInG tO kNoW uS. It's nonsense. You did not come here to meet the girl-next-door &amp; you know it. Just admit you wanna look at my tits &amp; pay me.

This is my ultra pet peeve because those that insist on talking first, are a 50/50 gamble, because get this: They friend-zone you because now you're a real person to them. Argh. Nothing more agitating than that happening &amp; then watching them prance off to VIP with the next girl."
2,"Don’t ever try to haggle with the dancer over “what this money could get you on the street/another club/backpage” 

Don’t insist on knowing her real name. If she tells your name is delicious then it’s fucking delicious.

Make sure you don’t pour laundry detergent directly on your clothes when doing the wash or you look a hot ass mess in the black lights at the club.

Don’t harass the waitresses for lap dances, get a dance from the dancer the waitress isn’t some unplucked virgin specialness"
3,"Really good, actually. I realized that it’s normal to have doubts, even if the guy is super great. It’s a huge commitment and it turned out very nicely for me. He’s an imperfect husband but he’s considerate and kind and we’re devoted to making things work."
4,"reminding myself that i'm in love with/miss who i *thought* they were, not who they are."
5,"There are so, so many. 

Bride Wars comes to mind. 

Oh, we’re super besties and have been for years and we’re both getting married!!! But the wedding planner scheduled our weddings for the same day oh no!!!! What ever shall we do?!?!? It’s not like we’re BEST FUCKING FRIENDS AND CAN WORK THIS OUT. No! Let’s be catty bitches and fight and sabotage each other. 

That’s much better than the obvious solution. MAKE IT A DOUBLE WEDDING."
6,"This may be unexpected, but for me, I stopped lying, whether it be a major lie, white lie, or extra details to a story. I found that when I lie, I lose part of my identity and by lying, I am not accepting what is reality and therefore my own reality is messed up. 

I’ve noticed a pattern with people with low self-esteem and how often they lie.

When I stopped lying, I was forced to be as I am. Being honest is liberating, you don’t have the shackles of the lies you’ve told weighing you down. And it’s easier to accept myself knowing I am an honest person, and I am happy with the person I was becoming and am now."
7,Pay per song. Ask before you touch. Don’t beg for kisses or oral. Don’t ask for phone numbers.
8,"From age 3-10 lived with my single dad and his 2 single brothers who each had a kid (1 boy cousin and 1 girl cousin) they were raising. So essentially we each had 3 dads and no mom. They all cooked, cleaned, braided our hair (yes even the boy because they let his hair grow out too) and got us ready for school everyday, took us to school and picked us up every single day, did hw with us and made sure we were happy. My favorite memory is when one of them would sit with the 3 of us surrounding him and they would have a plate of food and one spoon to put one spoonful in each our mouths at a time. I’m a girly girl, loves pink but I know how to swing a hammer, fix stuff around my place and decorate it. I think it’s made me well rounded, they never tried to make me girly or boyish, they let us be kids. We were friends with just as many boys as girls. Ya, they would let us wrestle each other sometime and even make bets l, but hey what are kids for if not to entertain? 😂"
9,"I love going home after a busy day of work and not having to hear anyone else talk. To be able to hear myself think again, and not spend a second caring about what anyone around me wants from me, how to speak to someone, how anyone else is feeling but myself. If I want to sing and dance I can, if I want to huddle in a corner and decompress about the day I can. I don't have to try to tell anyone to leave me alone in a way that won't hurt their feelings, listen to their gossip, feel any way about how the chores are balanced or who's taking up how much space."
