mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
95.0,100,90,54,0,0,0,0,0,8,0,,,,,,,,
5.0,10,0,68,0,1,0,0,0,2,0,,,,,,,,
105.0,110,100,64,0,1,0,0,0,4,0,62.8,0.0,1.2,0.0,0.0,0.0,4.4,0.0
115.0,120,110,68,0,3,0,0,0,5,0,65.0,0.0,1.2,0.0,0.0,0.0,3.4,0.0
125.0,130,120,60,0,1,0,0,0,3,0,61.6,0.0,1.6,0.0,0.0,0.0,3.6,0.0
135.0,140,130,65,0,0,0,0,0,3,0,61.6,0.0,1.8,0.0,0.0,0.0,3.4,0.0
145.0,150,140,51,0,3,0,0,0,3,0,61.0,0.0,1.6,0.0,0.0,0.0,3.0,0.0
155.0,160,150,64,0,2,0,0,0,3,0,61.8,0.0,1.6,0.0,0.0,0.0,2.8,0.0
165.0,170,160,65,0,2,0,0,0,3,0,62.6,0.0,1.6,0.0,0.0,0.0,2.8,0.0
175.0,180,170,64,0,1,0,0,0,2,0,65.0,0.0,1.2,0.0,0.0,0.0,2.6,0.0
185.0,190,180,69,0,0,0,0,0,3,0,66.8,0.0,1.0,0.0,0.0,0.0,2.0,0.0
195.0,200,190,63,0,1,0,0,0,2,0,67.6,0.0,1.0,0.0,0.0,0.0,1.6,0.0
15.0,20,10,73,0,1,0,0,0,0,0,67.6,0.0,1.2,0.0,0.0,0.0,1.2,0.0
205.0,210,200,69,0,2,0,0,0,1,0,66.2,0.0,1.6,0.0,0.0,0.0,1.0,0.0
215.0,220,210,64,0,2,0,0,0,0,0,66.0,0.0,1.4,0.0,0.0,0.0,0.8,0.0
225.0,230,220,62,0,2,0,0,0,2,0,65.6,0.0,1.8,0.0,0.0,0.0,1.0,0.0
235.0,240,230,62,0,0,0,0,0,1,0,63.0,0.0,1.8,0.0,0.0,0.0,1.6,0.0
245.0,250,240,71,0,3,0,0,0,1,0,61.2,0.0,1.6,0.0,0.0,0.0,2.0,0.0
255.0,260,250,56,0,2,0,0,0,4,0,62.0,0.0,1.4,0.0,0.0,0.0,2.2,0.0
265.0,270,260,55,0,1,0,0,0,2,0,60.8,0.0,1.4,0.0,0.0,0.0,2.8,0.0
275.0,280,270,66,0,1,0,0,0,3,0,57.8,0.0,1.6,0.0,0.0,0.0,3.2,0.0
285.0,290,280,56,0,0,0,0,0,4,0,63.2,0.0,1.8,0.0,0.0,0.0,3.0,0.0
295.0,300,290,56,0,4,0,0,0,3,0,63.2,0.0,1.8,0.0,0.0,0.0,2.8,0.0
25.0,30,20,83,0,3,0,0,0,3,0,62.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
305.0,310,300,55,0,1,0,0,0,1,0,63.6,0.0,2.4,0.0,0.0,0.0,2.8,0.0
315.0,320,310,60,0,2,0,0,0,4,0,63.8,0.0,2.0,0.0,0.0,0.0,2.6,0.0
325.0,330,320,64,0,2,0,0,0,3,0,57.6,0.0,2.2,0.0,0.0,0.0,2.0,0.0
335.0,340,330,57,0,2,0,0,0,2,0,56.4,0.0,2.0,0.0,0.0,0.0,2.4,0.0
345.0,350,340,52,0,4,0,0,0,0,0,55.0,0.0,1.8,0.0,0.0,0.0,2.4,0.0
355.0,360,350,49,0,0,0,0,0,3,0,54.0,0.0,2.2,0.0,0.0,0.0,2.6,0.0
365.0,370,360,53,0,1,0,0,0,4,0,55.4,0.0,2.0,0.0,0.0,0.0,3.4,0.0
375.0,380,370,59,0,4,0,0,0,4,0,59.0,0.0,1.6,0.0,0.0,0.0,4.0,0.0
385.0,390,380,64,0,1,0,0,0,6,0,64.8,0.0,2.4,0.0,0.0,0.0,3.4,0.0
395.0,400,390,70,0,2,0,0,0,3,0,64.0,0.0,2.2,0.0,0.0,0.0,3.4,0.0
35.0,40,30,78,0,4,0,0,0,0,0,66.2,0.0,1.4,0.0,0.0,0.0,3.6,0.0
405.0,410,400,49,0,0,0,0,0,4,0,71.2,0.0,1.6,0.0,0.0,0.0,3.4,0.0
45.0,50,40,70,0,0,0,0,0,5,0,72.2,0.0,2.0,0.0,0.0,0.0,4.0,0.0
55.0,60,50,89,0,2,0,0,0,5,0,71.6,0.0,1.4,0.0,0.0,0.0,5.4,0.0
65.0,70,60,75,0,4,0,0,0,6,0,76.6,0.0,2.0,0.0,0.0,0.0,4.8,0.0
75.0,80,70,75,0,1,0,0,0,7,0,,,,,,,,
85.0,90,80,74,0,3,0,0,0,1,0,,,,,,,,
