mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
405.0,410,400,429,0,6,0,0,0,28,0,,,,,,,,
395.0,400,390,455,0,24,0,0,0,37,0,,,,,,,,
385.0,390,380,389,0,8,0,0,0,39,0,415.4,0.0,12.2,0.0,0.0,0.0,32.0,0.0
375.0,380,370,384,0,9,0,0,0,27,0,415.2,0.0,13.4,0.0,0.0,0.0,34.0,0.0
365.0,370,360,420,0,14,0,0,0,29,0,409.4,0.0,11.2,0.0,0.0,0.0,33.4,0.0
355.0,360,350,428,0,12,0,0,0,38,0,408.8,0.0,10.4,0.0,0.0,0.0,30.2,0.0
345.0,350,340,426,0,13,0,0,0,34,0,414.2,0.0,11.0,0.0,0.0,0.0,29.2,0.0
335.0,340,330,386,0,4,0,0,0,23,0,416.4,0.0,11.4,0.0,0.0,0.0,32.8,0.0
325.0,330,320,411,0,12,0,0,0,22,0,421.6,0.0,12.2,0.0,0.0,0.0,30.0,0.0
315.0,320,310,431,0,16,0,0,0,47,0,427.6,0.0,11.2,0.0,0.0,0.0,28.8,0.0
305.0,310,300,454,0,16,0,0,0,24,0,468.2,0.0,14.2,0.0,0.0,0.0,34.2,0.0
295.0,300,290,456,0,8,0,0,0,28,0,490.6,0.0,13.6,0.0,0.0,0.0,35.0,0.0
285.0,290,280,589,0,19,0,0,0,50,0,495.4,0.0,12.6,0.2,0.0,0.0,32.0,0.0
275.0,280,270,523,0,9,0,0,0,26,0,510.8,0.0,10.6,0.2,0.0,0.0,34.2,0.0
265.0,270,260,455,0,11,1,0,0,32,0,518.8,0.0,11.8,0.2,0.0,0.0,34.8,0.0
255.0,260,250,531,0,6,0,0,0,35,0,505.2,0.0,10.4,0.2,0.0,0.0,33.0,0.0
245.0,250,240,496,0,14,0,0,0,31,0,502.2,0.0,12.0,0.2,0.0,0.0,34.8,0.0
235.0,240,230,521,0,12,0,0,0,41,0,503.6,0.0,12.6,0.0,0.0,0.0,34.8,0.0
225.0,230,220,508,0,17,0,0,0,35,0,489.4,0.0,13.8,0.0,0.0,0.0,32.0,0.0
215.0,220,210,462,0,14,0,0,0,32,0,478.0,0.0,13.0,0.0,0.0,0.0,30.0,0.0
205.0,210,200,460,0,12,0,0,0,21,0,453.6,0.0,13.4,0.0,0.0,0.0,29.8,0.0
195.0,200,190,439,0,10,0,0,0,21,0,439.0,0.0,13.2,0.0,0.0,0.0,30.2,0.0
185.0,190,180,399,0,14,0,0,0,40,0,427.6,0.0,12.6,0.0,0.0,0.0,31.2,0.0
175.0,180,170,435,0,16,0,0,0,37,0,426.4,0.0,14.4,0.4,0.0,0.0,32.0,0.0
165.0,170,160,405,0,11,0,0,0,37,0,413.8,0.0,16.0,0.4,0.0,0.0,31.8,0.0
155.0,160,150,454,0,21,2,0,0,25,0,411.2,0.0,17.8,0.4,0.0,0.0,30.2,0.0
145.0,150,140,376,0,18,0,0,0,20,0,406.6,0.0,15.2,0.4,0.0,0.0,28.8,0.0
135.0,140,130,386,0,23,0,0,0,32,0,412.0,0.0,15.0,0.4,0.0,0.0,26.2,0.0
125.0,130,120,412,0,3,0,0,0,30,0,404.4,0.0,13.0,0.0,0.0,0.0,27.4,0.0
115.0,120,110,432,0,10,0,0,0,24,0,412.4,0.0,11.4,0.0,0.0,0.0,31.2,0.0
105.0,110,100,416,0,11,0,0,0,31,0,414.8,0.0,8.0,0.0,0.0,0.0,29.6,0.0
95.0,100,90,416,0,10,0,0,0,39,0,407.8,0.0,10.6,0.0,0.0,0.0,30.8,0.0
85.0,90,80,398,0,6,0,0,0,24,0,407.0,0.0,10.0,0.0,0.0,0.0,32.2,0.0
75.0,80,70,377,0,16,0,0,0,36,0,410.0,0.0,10.0,0.0,0.0,0.0,31.2,0.0
65.0,70,60,428,0,7,0,0,0,31,0,409.6,0.0,10.0,0.0,0.0,0.0,30.0,0.2
55.0,60,50,431,0,11,0,0,0,26,0,421.6,0.0,11.2,0.0,0.0,0.0,30.6,0.2
45.0,50,40,414,0,10,0,0,0,33,1,428.8,0.0,12.4,0.0,0.0,0.0,31.4,0.2
35.0,40,30,458,0,12,0,0,0,27,0,426.2,0.0,13.4,0.0,0.0,0.0,31.6,0.2
25.0,30,20,413,0,22,0,0,0,40,0,416.6,0.0,12.8,0.0,0.0,0.0,31.2,0.2
15.0,20,10,415,0,12,0,0,0,32,0,,,,,,,,
5.0,10,0,383,0,8,0,0,0,24,0,,,,,,,,
