mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
405.0,410,400,60,0,0,0,0,0,3,0,,,,,,,,
395.0,400,390,53,0,1,0,0,0,5,0,,,,,,,,
385.0,390,380,45,0,1,0,0,0,1,0,49.8,0.0,0.6,0.0,0.0,0.0,3.0,0.0
375.0,380,370,43,0,0,0,0,0,4,0,47.6,0.0,0.8,0.0,0.0,0.0,2.6,0.0
365.0,370,360,48,0,1,0,0,0,2,0,48.8,0.0,0.8,0.0,0.0,0.0,1.6,0.0
355.0,360,350,49,0,1,0,0,0,1,0,49.6,0.0,0.8,0.0,0.0,0.0,2.0,0.0
345.0,350,340,59,0,1,0,0,0,0,0,51.6,0.0,1.0,0.0,0.0,0.0,2.0,0.0
335.0,340,330,49,0,1,0,0,0,3,0,52.2,0.0,1.0,0.0,0.0,0.0,3.0,0.0
325.0,330,320,53,0,1,0,0,0,4,0,49.4,0.0,0.8,0.0,0.0,0.0,3.0,0.0
315.0,320,310,51,0,1,0,0,0,7,0,47.8,0.0,1.0,0.0,0.0,0.0,3.8,0.0
305.0,310,300,35,0,0,0,0,0,1,0,45.8,0.0,1.0,0.0,0.0,0.0,3.4,0.0
295.0,300,290,51,0,2,0,0,0,4,0,46.4,0.0,0.8,0.0,0.0,0.0,3.0,0.0
285.0,290,280,39,0,1,0,0,0,1,0,46.6,0.0,0.6,0.0,0.0,0.0,2.0,0.0
275.0,280,270,56,0,0,0,0,0,2,0,46.4,0.0,0.8,0.0,0.0,0.0,2.0,0.0
265.0,270,260,52,0,0,0,0,0,2,0,44.8,0.0,0.6,0.0,0.0,0.0,1.2,0.0
255.0,260,250,34,0,1,0,0,0,1,0,47.4,0.0,1.0,0.0,0.0,0.0,2.6,0.0
245.0,250,240,43,0,1,0,0,0,0,0,45.6,0.0,1.2,0.0,0.0,0.0,3.2,0.0
235.0,240,230,52,0,3,0,0,0,8,0,44.2,0.0,1.2,0.0,0.0,0.0,3.0,0.0
225.0,230,220,47,0,1,0,0,0,5,0,46.4,0.0,1.0,0.0,0.0,0.0,3.2,0.0
215.0,220,210,45,0,0,0,0,0,1,0,45.8,0.0,1.0,0.0,0.0,0.0,3.6,0.0
205.0,210,200,45,0,0,0,0,0,2,0,44.8,0.0,1.0,0.0,0.0,0.0,2.6,0.0
195.0,200,190,40,0,1,0,0,0,2,0,45.6,0.0,0.8,0.0,0.0,0.0,2.2,0.0
185.0,190,180,47,0,3,0,0,0,3,0,46.2,0.0,0.8,0.0,0.0,0.0,2.8,0.0
175.0,180,170,51,0,0,0,0,0,3,0,49.2,0.0,1.0,0.0,0.0,0.0,3.2,0.0
165.0,170,160,48,0,0,0,0,0,4,0,49.4,0.0,1.2,0.0,0.0,0.0,3.0,0.0
155.0,160,150,60,0,1,0,0,0,4,0,52.0,0.0,0.6,0.0,0.0,0.0,3.4,0.0
145.0,150,140,41,0,2,0,0,0,1,0,50.8,0.0,0.6,0.0,0.0,0.0,3.0,0.0
135.0,140,130,60,0,0,0,0,0,5,0,50.0,0.0,0.8,0.0,0.0,0.0,2.6,0.0
125.0,130,120,45,0,0,0,0,0,1,0,46.0,0.0,0.6,0.0,0.0,0.0,2.6,0.0
115.0,120,110,44,0,1,0,0,0,2,0,45.6,0.0,0.6,0.2,0.0,0.0,3.0,0.0
105.0,110,100,40,0,0,0,0,0,4,0,43.4,0.0,0.6,0.2,0.0,0.0,2.2,0.0
95.0,100,90,39,0,2,1,0,0,3,0,45.4,0.0,0.6,0.2,0.0,0.0,2.6,0.0
85.0,90,80,49,0,0,0,0,0,1,0,45.2,0.0,0.4,0.2,0.0,0.0,2.8,0.0
75.0,80,70,55,0,0,0,0,0,3,0,45.4,0.0,0.6,0.2,0.0,0.0,2.2,0.0
65.0,70,60,43,0,0,0,0,0,3,0,45.6,0.0,0.4,0.0,0.0,0.0,1.8,0.0
55.0,60,50,41,0,1,0,0,0,1,0,45.6,0.0,0.6,0.0,0.0,0.0,2.4,0.0
45.0,50,40,40,0,1,0,0,0,1,0,43.2,0.0,0.6,0.0,0.0,0.0,2.6,0.0
35.0,40,30,49,0,1,0,0,0,4,0,43.6,0.0,0.6,0.0,0.0,0.0,2.8,0.0
25.0,30,20,43,0,0,0,0,0,4,0,41.2,0.0,0.4,0.0,0.0,0.0,3.6,0.0
15.0,20,10,45,0,0,0,0,0,4,0,,,,,,,,
5.0,10,0,29,0,0,0,0,0,5,0,,,,,,,,
