,text
0,"I used to work a place where they would print out the excel sheets, and then manually enter the values in a browser based system... "
1,"shes right, its not her job! anymore."
2,"Brilliant example of how sometimes a problem needs to be approached from the mindset of someone not enveloped in the problem. 

Well done. "
3,That's kinda how the story of NORAD's Santa Track happened.
4,Really shows the owners incompetence.  Send them to an Excel training class for a grand or train someone new from scratch for months. 
5,"funny. last time I did something similar, it was me who was out of a job. "
6,"&gt;I did not answer that email.

Probably best for your sanity"
7,"Well thats IT for you.

Everything is works fine why are we paying you

Nothing is working why are we paying you"
8,Sounds like the problem could be solved by administering some kyanide...
9,"“My laptop started on fire, will installing Microsoft Word fix it?”"
10,I am reminded of [The Indexer](https://thedailywtf.com/articles/Classic-WTF-The-Indexer).
11,"Dear Joyboy and Colleagues

You are asking my hopeline tech to break federal law, thank you to requesting it via email though as I can now forward this request to legal, my manager, your manager, the CEO, the police, the FBI, the President, Son Goku, and his lord Jesus Christ.

Regards"
12,"&gt;on vacation

&gt;I get a phone call 

This is why the phone gets turned off on vacation."
13,[Really wonderful storycorp piece about the start of NORAD Santa](https://storycorps.org/listen/terri-van-keuren-rick-shoup-and-pamela-farrell/)
14,"(ring ring)  

""You got me fired!""   

""I don't care.""  "
15,Only until we figure out how to use stupid questions as a power source.
16,"The trick isn't to automate yourself out of a job, the trick is to automate yourself out of doing work. 

99% of the process is handled by the computer, but only you know which buttons to click to make it do that "
17,How else would she copy and paste her work over to the new computer? 
18,Some say the cord remains unplugged to this day
19,"I simply can't wrap my brain around someone doing something that monotonous without quickly Googling ""how to make Excel calculate sums."" I will go through HOURS of research to avoid horrid tasks like that.

Edit: Adding missing """
20,"I've been on both sides of that look, and it is never comfortable"
21,Recognizing a lost cause immediately and just going with it.
22,[deleted]
23,This is why I have a policy of requiring a 50% deposit for an new client if not payment in full before doing a job. Also why contracts and delivery manifests are so important to get signed. I’ve worked in the A/V world almost two decades now and only been burned when I was stupid and didn’t get those signatures. 
24,"I worked at an older place with a woman who was fairly high up.  Every morning she would print out her emails, write out her responses long hand, type up her long hand reply, print it out, and then send it as a reply."
25,"An employee who lacked the imagination, initiative and plain old-fashioned common sense to wonder if there was a command for doing this simple but time-consuming task automatically is probably not worth keeping even if they manage to actually pass an ""Excel for people who've been living under a rock since the Unix Epoch"" course. We were learning this stuff in the regional equivalent of *eighth grade* when I was in school. (To the detriment of anything that this sub would recognise as ""IT"", in fact, but that's a rant for another venue.)"
