mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
430.0,435,425,80,0,1,0,0,0,6,0,,,,,,,,
440.0,445,435,79,0,1,0,0,0,2,0,,,,,,,,
450.0,455,445,92,0,1,0,0,0,4,0,83.4,0.0,0.8,0.0,0.0,0.0,3.2,0.0
460.0,465,455,83,0,1,0,0,0,2,0,84.0,0.0,1.2,0.0,0.0,0.0,2.8,0.0
470.0,475,465,83,0,0,0,0,0,2,0,86.4,0.0,1.0,0.0,0.0,0.0,3.2,0.0
480.0,485,475,83,0,3,0,0,0,4,0,86.2,0.0,1.0,0.0,0.0,0.0,3.8,0.0
490.0,495,485,91,0,0,0,0,0,4,0,87.0,0.0,1.4,0.0,0.0,0.0,5.2,0.0
500.0,505,495,91,0,1,0,0,0,7,0,90.4,0.0,2.0,0.0,0.0,0.0,6.8,0.0
510.0,515,505,87,0,3,0,0,0,9,0,93.2,0.0,1.6,0.0,0.0,0.0,7.2,0.0
520.0,525,515,100,0,3,0,0,0,10,0,91.6,0.0,2.0,0.0,0.0,0.0,7.4,0.0
530.0,535,525,97,0,1,0,0,0,6,0,90.8,0.0,2.6,0.0,0.0,0.0,7.0,0.0
540.0,545,535,83,0,2,0,0,0,5,0,91.2,0.0,2.6,0.0,0.0,0.0,6.6,0.0
550.0,555,545,87,0,4,0,0,0,5,0,87.2,0.0,2.4,0.0,0.0,0.0,5.8,0.0
560.0,565,555,89,0,3,0,0,0,7,0,87.2,0.0,2.4,0.0,0.0,0.0,5.2,0.0
570.0,575,565,80,0,2,0,0,0,6,0,88.2,0.0,2.4,0.0,0.0,0.0,5.0,0.0
580.0,585,575,97,0,1,0,0,0,3,0,86.8,0.0,1.6,0.0,0.0,0.0,5.0,0.0
590.0,595,585,88,0,2,0,0,0,4,0,83.6,0.0,1.2,0.2,0.0,0.0,4.4,0.0
600.0,605,595,80,0,0,0,0,0,5,0,84.6,0.0,0.8,0.2,0.0,0.0,3.8,0.0
610.0,615,605,73,0,1,1,0,0,4,0,76.4,0.0,0.6,0.2,0.0,0.0,4.0,0.0
620.0,625,615,85,0,0,0,0,0,3,0,70.0,0.0,0.2,0.2,0.0,0.0,3.6,0.0
630.0,635,625,56,0,0,0,0,0,4,0,66.4,0.0,0.4,0.2,0.0,0.0,2.8,0.0
640.0,645,635,56,0,0,0,0,0,2,0,64.8,0.0,0.4,0.0,0.0,0.0,2.6,0.0
650.0,655,645,62,0,1,0,0,0,1,0,61.8,0.0,0.8,0.0,0.0,0.0,3.0,0.0
660.0,665,655,65,0,1,0,0,0,3,0,63.0,0.0,0.8,0.0,0.0,0.0,2.6,0.0
670.0,675,665,70,0,2,0,0,0,5,0,65.2,0.0,1.0,0.0,0.0,0.0,3.2,0.0
680.0,685,675,62,0,0,0,0,0,2,0,65.4,0.0,0.8,0.0,0.0,0.0,4.2,0.0
690.0,695,685,67,0,1,0,0,0,5,0,65.8,0.0,1.2,0.0,0.0,0.0,4.4,0.0
700.0,705,695,63,0,0,0,0,0,6,0,62.4,0.0,1.2,0.0,0.0,0.0,4.2,0.0
710.0,715,705,67,0,3,0,0,0,4,0,63.2,0.0,1.6,0.0,0.0,0.0,5.0,0.0
720.0,725,715,53,0,2,0,0,0,4,0,63.8,0.0,1.6,0.0,0.0,0.0,4.6,0.0
730.0,735,725,66,0,2,0,0,0,6,0,65.6,0.0,1.8,0.0,0.0,0.0,4.8,0.0
740.0,745,735,70,0,1,0,0,0,3,0,65.0,0.0,1.4,0.0,0.0,0.0,4.4,0.0
750.0,755,745,72,0,1,0,0,0,7,0,68.2,0.0,1.4,0.0,0.0,0.0,4.4,0.0
760.0,765,755,64,0,1,0,0,0,2,0,69.0,0.0,1.6,0.0,0.0,0.0,4.0,0.0
770.0,775,765,69,0,2,0,0,0,4,0,71.0,0.0,1.8,0.0,0.0,0.0,4.2,0.0
780.0,785,775,70,0,3,0,0,0,4,0,69.8,0.0,2.2,0.0,0.0,0.0,3.4,0.0
790.0,795,785,80,0,2,0,0,0,4,0,71.0,0.0,2.0,0.0,0.0,0.0,4.2,0.0
800.0,805,795,66,0,3,0,0,0,3,0,,,,,,,,
810.0,815,805,70,0,0,0,0,0,6,0,,,,,,,,
