mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
415.0,420,410,940,0,46,0,0,0,74,0,,,,,,,,
425.0,430,420,947,0,36,0,0,0,80,0,,,,,,,,
435.0,440,430,941,0,45,0,0,0,86,0,940.8,0.0,39.6,0.0,0.0,0.0,85.2,0.0
445.0,450,440,942,0,30,0,0,0,89,0,945.2,0.0,40.6,0.0,0.0,0.0,91.2,0.0
455.0,460,450,934,0,41,0,0,0,97,0,940.6,0.0,38.4,0.0,0.0,0.0,92.0,0.0
465.0,470,460,962,0,51,0,0,0,104,0,953.6,0.0,35.6,0.0,0.0,0.0,95.2,0.2
475.0,480,470,924,0,25,0,0,0,84,0,938.6,0.0,37.4,0.0,0.0,0.0,95.0,0.2
485.0,490,480,1006,0,31,0,0,0,102,1,947.4,0.0,38.6,0.0,0.0,0.0,88.8,0.2
495.0,500,490,867,0,39,0,0,0,88,0,948.6,0.0,37.4,0.0,0.0,0.0,87.4,0.2
505.0,510,500,978,0,47,0,0,0,66,0,963.2,0.0,42.4,0.2,0.0,0.0,89.2,0.2
515.0,520,510,968,0,45,0,0,0,97,0,957.6,0.0,44.8,0.4,0.0,0.0,89.8,0.0
525.0,530,520,997,0,50,1,0,0,93,0,961.4,0.0,44.8,0.4,0.0,0.0,88.6,0.2
535.0,540,530,978,0,43,1,0,0,105,0,962.8,0.0,43.2,0.4,0.0,0.0,96.0,0.2
545.0,550,540,886,0,39,0,0,0,82,1,955.0,0.0,43.8,0.4,0.0,0.0,95.2,0.2
555.0,560,550,985,0,39,0,0,0,103,0,969.6,0.0,42.2,0.2,0.0,0.0,98.2,0.2
565.0,570,560,929,0,48,0,0,0,93,0,972.8,0.0,40.8,0.0,0.0,0.0,95.4,0.2
575.0,580,570,1070,0,42,0,0,0,108,0,997.4,0.0,40.6,0.0,0.0,0.0,98.6,0.0
585.0,590,580,994,0,36,0,0,0,91,0,1000.4,0.0,41.6,0.0,0.0,0.0,99.6,0.0
595.0,600,590,1009,0,38,0,0,0,98,0,1007.0,0.0,40.0,0.0,0.0,0.0,97.6,0.0
605.0,610,600,1000,0,44,0,0,0,108,0,975.0,0.0,40.0,0.0,0.0,0.0,91.6,0.0
615.0,620,610,962,0,40,0,0,0,83,0,946.8,0.0,42.8,0.0,0.0,0.0,88.8,0.0
625.0,630,620,910,0,42,0,0,0,78,0,937.4,0.0,43.4,0.0,0.0,0.0,90.2,0.0
635.0,640,630,853,0,50,0,0,0,77,0,924.8,0.0,42.6,0.0,0.0,0.0,83.4,0.0
645.0,650,640,962,0,41,0,0,0,105,0,936.8,0.0,43.2,0.0,0.0,0.0,89.0,0.0
655.0,660,650,937,0,40,0,0,0,74,0,966.0,0.0,46.2,0.0,0.0,0.0,95.4,0.0
665.0,670,660,1022,0,43,0,0,0,111,0,989.0,0.0,45.4,0.0,0.0,0.0,99.6,0.0
675.0,680,670,1056,0,57,0,0,0,110,0,1008.4,0.0,51.6,0.0,0.0,0.0,100.8,0.0
685.0,690,680,968,0,46,0,0,0,98,0,1009.8,0.0,52.8,0.0,0.0,0.0,103.6,0.0
695.0,700,690,1059,0,72,0,0,0,111,0,1011.4,0.0,54.2,0.0,0.0,0.0,100.8,0.0
705.0,710,700,944,0,46,0,0,0,88,0,995.6,0.0,50.4,0.0,0.0,0.0,100.2,0.0
715.0,720,710,1030,0,50,0,0,0,97,0,984.8,0.0,51.0,0.0,0.0,0.0,100.0,0.0
725.0,730,720,977,0,38,0,0,0,107,0,957.0,0.0,44.6,0.0,0.0,0.0,95.0,0.0
735.0,740,730,914,0,49,0,0,0,97,0,942.4,0.0,42.2,0.0,0.0,0.0,94.6,0.0
745.0,750,740,920,0,40,0,0,0,86,0,945.2,0.0,41.4,0.0,0.0,0.0,95.2,0.0
755.0,760,750,871,0,34,0,0,0,86,0,934.2,0.0,42.2,0.0,0.0,0.0,89.8,0.0
765.0,770,760,1044,0,46,0,0,0,100,0,969.6,0.0,41.4,0.0,0.0,0.0,96.4,0.0
775.0,780,770,922,0,42,0,0,0,80,0,976.6,0.0,43.2,0.0,0.0,0.0,100.6,0.0
785.0,790,780,1091,0,45,0,0,0,130,0,,,,,,,,
795.0,800,790,955,0,49,0,0,0,107,0,,,,,,,,
