mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
795.0,800,790,218,0,2,0,0,0,6,0,,,,,,,,
785.0,790,780,168,0,0,0,0,0,3,0,,,,,,,,
775.0,780,770,209,0,2,0,0,0,9,0,247.6,0.0,2.8,0.0,0.0,0.0,6.6,0.0
765.0,770,760,363,0,7,0,0,0,7,0,256.6,0.0,3.0,0.0,0.0,0.0,7.0,0.0
755.0,760,750,280,0,3,0,0,0,8,0,267.8,0.0,4.0,0.0,0.0,0.0,8.6,0.0
745.0,750,740,263,0,3,0,0,0,8,0,276.6,0.0,3.8,0.0,0.0,0.0,8.2,0.0
735.0,740,730,224,0,5,0,0,0,11,0,244.2,0.0,2.6,0.0,0.0,0.0,8.0,0.0
725.0,730,720,253,0,1,0,0,0,7,0,225.6,0.0,3.2,0.0,0.0,0.0,8.4,0.0
715.0,720,710,201,0,1,0,0,0,6,0,216.4,0.0,2.6,0.0,0.0,0.0,7.2,0.0
705.0,710,700,187,0,6,0,0,0,10,0,207.8,0.0,2.0,0.0,0.0,0.0,6.2,0.0
695.0,700,690,217,0,0,0,0,0,2,0,197.0,0.0,2.8,0.0,0.0,0.0,5.4,0.0
685.0,690,680,181,0,2,0,0,0,6,0,207.0,0.0,3.6,0.0,0.0,0.0,5.2,0.0
675.0,680,670,199,0,5,0,0,0,3,0,211.2,0.0,2.8,0.0,0.0,0.0,4.0,0.0
665.0,670,660,251,0,5,0,0,0,5,0,205.4,0.0,3.4,0.0,0.0,0.0,4.0,0.0
655.0,660,650,208,0,2,0,0,0,4,0,217.6,0.0,3.8,0.0,0.0,0.0,4.4,0.0
645.0,650,640,188,0,3,0,0,0,2,0,219.0,0.0,3.2,0.0,0.0,0.0,5.6,0.0
635.0,640,630,242,0,4,0,0,0,8,0,211.6,0.0,2.2,0.0,0.0,0.0,6.2,0.0
625.0,630,620,206,0,2,0,0,0,9,0,221.4,0.0,2.8,0.0,0.0,0.0,7.6,0.0
615.0,620,610,214,0,0,0,0,0,8,0,216.8,0.0,3.4,0.0,0.0,0.0,9.2,0.0
605.0,610,600,257,0,5,0,0,0,11,0,211.4,0.0,3.2,0.0,0.0,0.0,9.0,0.0
595.0,600,590,165,0,6,0,0,0,10,0,214.4,0.0,4.0,0.0,0.0,0.0,8.4,0.0
585.0,590,580,215,0,3,0,0,0,7,0,219.2,0.0,4.8,0.0,0.0,0.0,8.0,0.0
575.0,580,570,221,0,6,0,0,0,6,0,211.4,0.0,4.8,0.0,0.0,0.0,7.2,0.0
565.0,570,560,238,0,4,0,0,0,6,0,236.2,0.0,4.4,0.0,0.0,0.0,7.6,0.0
555.0,560,550,218,0,5,0,0,0,7,0,246.2,0.0,4.4,0.0,0.0,0.0,7.6,0.0
545.0,550,540,289,0,4,0,0,0,12,0,240.8,0.0,5.0,0.0,0.0,0.0,7.4,0.0
535.0,540,530,265,0,3,0,0,0,7,0,232.0,0.0,4.6,0.0,0.0,0.0,7.0,0.0
525.0,530,520,194,0,9,0,0,0,5,0,235.8,0.0,4.4,0.0,0.0,0.0,6.4,0.0
515.0,520,510,194,0,2,0,0,0,4,0,218.2,0.0,4.0,0.0,0.0,0.0,5.0,0.0
505.0,510,500,237,0,4,0,0,0,4,0,206.4,0.0,4.2,0.0,0.0,0.0,4.8,0.0
495.0,500,490,201,0,2,0,0,0,5,0,218.6,0.0,3.6,0.0,0.0,0.0,4.8,0.0
485.0,490,480,206,0,4,0,0,0,6,0,227.0,0.0,4.0,0.0,0.0,0.0,5.2,0.0
475.0,480,470,255,0,6,0,0,0,5,0,217.6,0.0,4.2,0.0,0.0,0.0,5.6,0.0
465.0,470,460,236,0,4,0,0,0,6,0,213.4,0.0,5.2,0.0,0.0,0.0,6.4,0.0
455.0,460,450,190,0,5,0,0,0,6,0,215.6,0.0,5.2,0.0,0.0,0.0,6.4,0.0
445.0,450,440,180,0,7,0,0,0,9,0,206.4,0.0,5.0,0.0,0.0,0.0,7.0,0.0
435.0,440,430,217,0,4,0,0,0,6,0,194.4,0.0,4.8,0.0,0.0,0.0,7.8,0.0
425.0,430,420,209,0,5,0,0,0,8,0,,,,,,,,
415.0,420,410,176,0,3,0,0,0,10,0,,,,,,,,
