mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
995.0,1000,990,68,0,2,0,0,0,4,0,,,,,,,,
1005.0,1010,1000,85,0,2,0,0,0,2,0,,,,,,,,
1015.0,1020,1010,79,0,0,0,0,0,3,0,76.4,0.0,1.2,0.0,0.0,0.0,3.8,0.0
1025.0,1030,1020,83,0,1,0,0,0,6,0,75.6,0.0,0.8,0.0,0.0,0.0,3.2,0.0
1035.0,1040,1030,67,0,1,0,0,0,4,0,72.0,0.0,0.8,0.0,0.0,0.0,3.0,0.0
1045.0,1050,1040,64,0,0,0,0,0,1,0,68.2,0.0,1.0,0.0,0.0,0.0,3.0,0.0
1055.0,1060,1050,67,0,2,0,0,0,1,0,64.2,0.0,1.2,0.0,0.0,0.0,2.2,0.0
1065.0,1070,1060,60,0,1,0,0,0,3,0,61.8,0.0,1.4,0.0,0.0,0.0,2.0,0.0
1075.0,1080,1070,63,0,2,0,0,0,2,0,60.2,0.0,1.4,0.0,0.0,0.0,1.8,0.0
1085.0,1090,1080,55,0,2,0,0,0,3,0,58.8,0.0,1.0,0.0,0.0,0.0,2.0,0.0
1095.0,1100,1090,56,0,0,0,0,0,0,0,60.8,0.0,0.8,0.0,0.0,0.0,2.2,0.0
1105.0,1110,1100,60,0,0,0,0,0,2,0,58.8,0.0,1.0,0.0,0.0,0.0,3.4,0.0
1115.0,1120,1110,70,0,0,0,0,0,4,0,62.4,0.0,1.2,0.0,0.0,0.0,3.6,0.0
1125.0,1130,1120,53,0,3,0,0,0,8,0,62.2,0.0,1.4,0.0,0.0,0.0,4.0,0.0
1135.0,1140,1130,73,0,3,0,0,0,4,0,59.6,0.0,1.8,0.0,0.0,0.0,3.8,0.0
1145.0,1150,1140,55,0,1,0,0,0,2,0,55.4,0.0,2.0,0.0,0.0,0.0,3.8,0.0
1155.0,1160,1150,47,0,2,0,0,0,1,0,55.6,0.0,2.0,0.0,0.0,0.0,2.4,0.0
1165.0,1170,1160,49,0,1,0,0,0,4,0,51.6,0.0,1.4,0.0,0.0,0.0,2.2,0.0
1175.0,1180,1170,54,0,3,0,0,0,1,0,49.4,0.0,1.2,0.0,0.0,0.0,1.8,0.0
1185.0,1190,1180,53,0,0,0,0,0,3,0,50.8,0.0,1.0,0.0,0.0,0.0,1.6,0.0
1195.0,1200,1190,44,0,0,0,0,0,0,0,65.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
1205.0,1210,1200,54,0,1,0,0,0,0,0,77.0,0.0,1.6,0.0,0.0,0.0,2.2,0.0
765.0,770,760,120,0,6,0,0,0,6,0,94.2,0.0,1.8,0.0,0.0,0.0,2.0,0.0
775.0,780,770,114,0,1,0,0,0,2,0,109.6,0.0,2.0,0.0,0.0,0.0,4.0,0.0
785.0,790,780,139,0,1,0,0,0,2,0,122.0,0.0,2.4,0.0,0.0,0.0,5.0,0.0
795.0,800,790,121,0,1,0,0,0,10,0,119.6,0.0,1.8,0.0,0.0,0.0,4.2,0.0
805.0,810,800,116,0,3,0,0,0,5,0,136.6,0.0,3.8,0.2,0.0,0.0,5.0,0.0
815.0,820,810,108,0,3,0,0,0,2,0,132.2,0.0,4.0,0.2,0.0,0.0,6.0,0.0
825.0,830,820,199,0,11,1,0,0,6,0,126.8,0.0,4.4,0.2,0.0,0.0,5.4,0.0
835.0,840,830,117,0,2,0,0,0,7,0,119.8,0.0,4.0,0.2,0.0,0.0,5.0,0.0
845.0,850,840,94,0,3,0,0,0,7,0,119.8,0.0,3.8,0.2,0.0,0.0,5.4,0.0
855.0,860,850,81,0,1,0,0,0,3,0,112.6,0.0,1.8,0.0,0.0,0.0,5.6,0.0
865.0,870,860,108,0,2,0,0,0,4,0,108.8,0.0,1.8,0.0,0.0,0.0,5.6,0.0
875.0,880,870,163,0,1,0,0,0,7,0,109.0,0.0,1.2,0.0,0.0,0.0,5.2,0.0
885.0,890,880,98,0,2,0,0,0,7,0,117.8,0.0,1.6,0.0,0.0,0.0,5.6,0.0
895.0,900,890,95,0,0,0,0,0,5,0,112.8,0.0,1.6,0.0,0.0,0.0,5.4,0.0
905.0,910,900,125,0,3,0,0,0,5,0,97.2,0.0,1.6,0.0,0.0,0.0,4.8,0.0
915.0,920,910,83,0,2,0,0,0,3,0,94.6,0.0,1.2,0.0,0.0,0.0,4.6,0.0
925.0,930,920,85,0,1,0,0,0,4,0,90.6,0.0,1.8,0.0,0.0,0.0,4.0,0.0
935.0,940,930,85,0,0,0,0,0,6,0,79.2,0.0,1.4,0.0,0.0,0.0,3.4,0.0
945.0,950,940,75,0,3,0,0,0,2,0,78.8,0.0,1.6,0.0,0.0,0.0,3.8,0.0
955.0,960,950,68,0,1,0,0,0,2,0,78.4,0.0,1.6,0.0,0.0,0.0,3.6,0.0
965.0,970,960,81,0,3,0,0,0,5,0,75.8,0.0,1.6,0.0,0.0,0.0,3.2,0.0
975.0,980,970,83,0,1,0,0,0,3,0,,,,,,,,
985.0,990,980,72,0,0,0,0,0,4,0,,,,,,,,
