mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
1205.0,1210,1200,471,0,12,0,0,0,20,0,,,,,,,,
1195.0,1200,1190,472,0,10,0,0,0,29,0,,,,,,,,
1185.0,1190,1180,528,0,13,0,0,0,31,0,476.4,0.0,9.8,0.0,0.0,0.0,26.6,0.0
1175.0,1180,1170,416,0,4,0,0,0,23,0,489.0,0.0,9.4,0.0,0.0,0.0,29.8,0.0
1165.0,1170,1160,495,0,10,0,0,0,30,0,498.0,0.0,8.4,0.0,0.0,0.0,32.4,0.0
1155.0,1160,1150,534,0,10,0,0,0,36,0,498.8,0.0,9.0,0.0,0.0,0.0,32.2,0.0
1145.0,1150,1140,517,0,5,0,0,0,42,0,510.8,0.0,9.2,0.0,0.0,0.0,31.8,0.0
1135.0,1140,1130,532,0,16,0,0,0,30,0,507.2,0.0,10.0,0.0,0.0,0.0,30.8,0.0
1125.0,1130,1120,476,0,5,0,0,0,21,0,484.4,0.0,10.8,0.0,0.0,0.0,29.4,0.0
1115.0,1120,1110,477,0,14,0,0,0,25,0,466.6,0.0,12.4,0.0,0.0,0.0,23.8,0.0
1105.0,1110,1100,420,0,14,0,0,0,29,0,459.0,0.0,10.6,0.0,0.0,0.0,23.0,0.0
1095.0,1100,1090,428,0,13,0,0,0,14,0,454.6,0.0,12.2,0.0,0.0,0.0,23.8,0.0
1085.0,1090,1080,494,0,7,0,0,0,26,0,456.6,0.0,11.2,0.0,0.0,0.0,25.4,0.0
1075.0,1080,1070,454,0,13,0,0,0,25,0,453.0,0.0,9.8,0.0,0.0,0.0,23.8,0.0
1065.0,1070,1060,487,0,9,0,0,0,33,0,458.6,0.0,9.2,0.0,0.0,0.0,27.8,0.0
1055.0,1060,1050,402,0,7,0,0,0,21,0,435.6,0.0,9.0,0.0,0.0,0.0,27.6,0.0
1045.0,1050,1040,456,0,10,0,0,0,34,0,438.4,0.0,8.0,0.0,0.0,0.0,29.8,0.0
1035.0,1040,1030,379,0,6,0,0,0,25,0,431.0,0.0,7.8,0.0,0.0,0.0,27.8,0.0
1025.0,1030,1020,468,0,8,0,0,0,36,0,445.0,0.0,9.4,0.0,0.0,0.0,31.6,0.0
1015.0,1020,1010,450,0,8,0,0,0,23,0,456.6,0.0,11.2,0.0,0.0,0.0,32.4,0.0
1005.0,1010,1000,472,0,15,0,0,0,40,0,465.8,0.0,12.0,0.0,0.0,0.0,33.4,0.0
995.0,1000,990,514,0,19,0,0,0,38,0,478.6,0.0,12.2,0.2,0.0,0.0,30.8,0.0
985.0,990,980,425,0,10,0,0,0,30,0,489.6,0.0,12.4,0.2,0.0,0.0,30.2,0.0
975.0,980,970,532,0,9,1,0,0,23,0,488.0,0.0,12.2,0.2,0.0,0.0,26.8,0.0
965.0,970,960,505,0,9,0,0,0,20,0,476.2,0.0,9.4,0.2,0.0,0.0,22.8,0.0
955.0,960,950,464,0,14,0,0,0,23,0,477.2,0.0,10.0,0.2,0.0,0.0,22.8,0.0
945.0,950,940,455,0,5,0,0,0,18,0,452.4,0.0,10.8,0.0,0.0,0.0,23.0,0.2
935.0,940,930,430,0,13,0,0,0,30,0,443.0,0.0,11.2,0.0,0.0,0.0,26.2,0.2
925.0,930,920,408,0,13,0,0,0,24,1,449.0,0.0,9.4,0.2,0.0,0.0,28.2,0.2
915.0,920,910,458,0,11,0,0,0,36,0,455.6,0.0,11.8,0.2,0.0,0.0,29.2,0.2
905.0,910,900,494,0,5,1,0,0,33,0,461.2,0.0,10.8,0.2,0.0,0.0,26.6,0.2
895.0,900,890,488,0,17,0,0,0,23,0,472.2,0.0,10.2,0.2,0.0,0.0,27.8,0.0
885.0,890,880,458,0,8,0,0,0,17,0,484.8,0.0,10.6,0.2,0.0,0.0,25.4,0.0
875.0,880,870,463,0,10,0,0,0,30,0,465.8,0.0,10.8,0.0,0.0,0.0,24.0,0.0
865.0,870,860,521,0,13,0,0,0,24,0,454.4,0.0,9.2,0.0,0.0,0.0,25.0,0.2
855.0,860,850,399,0,6,0,0,0,26,0,456.0,0.0,9.4,0.0,0.0,0.0,26.2,0.4
845.0,850,840,431,0,9,0,0,0,28,1,445.0,0.0,9.8,0.2,0.0,0.0,26.6,0.4
835.0,840,830,466,0,9,0,0,0,23,1,433.2,0.0,8.6,0.2,0.0,0.0,26.2,0.4
825.0,830,820,408,0,12,1,0,0,32,0,457.4,0.0,10.0,0.2,0.0,0.0,27.8,0.4
815.0,820,810,462,0,7,0,0,0,22,0,465.4,0.4,10.8,0.2,0.0,0.0,29.0,0.2
805.0,810,800,520,0,13,0,0,0,34,0,463.4,0.4,10.4,0.2,0.0,0.0,29.0,0.0
795.0,800,790,471,2,13,0,0,0,34,0,476.8,0.4,9.2,0.0,0.0,0.0,27.4,0.0
785.0,790,780,456,0,7,0,0,0,23,0,472.2,0.4,9.0,0.0,0.0,0.0,26.6,0.0
775.0,780,770,475,0,6,0,0,0,24,0,,,,,,,,
765.0,770,760,439,0,6,0,0,0,18,0,,,,,,,,
