mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
995.0,1000,990,81,0,0,0,0,0,4,0,,,,,,,,
1005.0,1010,1000,75,0,1,0,0,0,4,0,,,,,,,,
1015.0,1020,1010,88,0,1,0,0,0,3,0,76.4,0.0,0.6,0.0,0.0,0.0,4.8,0.0
1025.0,1030,1020,68,0,1,0,0,0,7,0,76.8,0.0,0.8,0.0,0.0,0.0,4.6,0.0
1035.0,1040,1030,70,0,0,0,0,0,6,0,75.0,0.0,1.0,0.0,0.0,0.0,3.8,0.0
1045.0,1050,1040,83,0,1,0,0,0,3,0,72.6,0.0,1.0,0.0,0.0,0.0,5.4,0.0
1055.0,1060,1050,66,0,2,0,0,0,0,0,73.6,0.0,1.0,0.0,0.0,0.0,5.2,0.0
1065.0,1070,1060,76,0,1,0,0,0,11,0,73.6,0.0,1.0,0.0,0.0,0.0,4.4,0.0
1075.0,1080,1070,73,0,1,0,0,0,6,0,70.2,0.0,1.2,0.0,0.0,0.0,5.0,0.0
1085.0,1090,1080,70,0,0,0,0,0,2,0,69.6,0.0,0.8,0.0,0.0,0.0,5.6,0.0
1095.0,1100,1090,66,0,2,0,0,0,6,0,70.0,0.0,0.8,0.0,0.0,0.0,4.6,0.0
1105.0,1110,1100,63,0,0,0,0,0,3,0,67.8,0.0,0.6,0.0,0.0,0.0,4.8,0.0
1115.0,1120,1110,78,0,1,0,0,0,6,0,68.4,0.0,1.0,0.0,0.0,0.0,5.2,0.0
1125.0,1130,1120,62,0,0,0,0,0,7,0,69.2,0.0,0.8,0.0,0.0,0.0,4.6,0.0
1135.0,1140,1130,73,0,2,0,0,0,4,0,66.4,0.0,0.8,0.0,0.0,0.0,4.4,0.0
1145.0,1150,1140,70,0,1,0,0,0,3,0,64.4,0.0,0.6,0.0,0.0,0.0,4.0,0.0
1155.0,1160,1150,49,0,0,0,0,0,2,0,67.0,0.0,0.8,0.0,0.0,0.0,3.0,0.0
1165.0,1170,1160,68,0,0,0,0,0,4,0,66.8,0.0,0.6,0.0,0.0,0.0,2.6,0.0
1175.0,1180,1170,75,0,1,0,0,0,2,0,68.2,0.0,0.8,0.0,0.0,0.0,2.6,0.0
1185.0,1190,1180,72,0,1,0,0,0,2,0,72.0,0.0,1.0,0.0,0.0,0.0,2.2,0.0
1195.0,1200,1190,77,0,2,0,0,0,3,0,74.0,0.0,1.0,0.0,0.0,0.0,2.6,0.0
1205.0,1210,1200,68,0,1,0,0,0,0,0,71.4,0.0,1.2,0.0,0.0,0.0,2.4,0.0
765.0,770,760,78,0,0,0,0,0,6,0,73.0,0.0,1.6,0.0,0.0,0.0,4.0,0.0
775.0,780,770,62,0,2,0,0,0,1,0,71.4,0.0,1.2,0.0,0.0,0.0,4.2,0.0
785.0,790,780,80,0,3,0,0,0,10,0,70.2,0.0,1.0,0.0,0.0,0.0,5.0,0.0
795.0,800,790,69,0,0,0,0,0,4,0,65.0,0.0,1.4,0.0,0.0,0.0,4.4,0.0
805.0,810,800,62,0,0,0,0,0,4,0,63.6,0.0,1.2,0.0,0.0,0.0,4.8,0.0
815.0,820,810,52,0,2,0,0,0,3,0,58.0,0.0,0.6,0.0,0.0,0.0,3.4,0.0
825.0,830,820,55,0,1,0,0,0,3,0,54.6,0.0,0.6,0.0,0.0,0.0,2.8,0.0
835.0,840,830,52,0,0,0,0,0,3,0,52.8,0.0,0.6,0.0,0.0,0.0,2.0,0.0
845.0,850,840,52,0,0,0,0,0,1,0,55.6,0.0,0.4,0.0,0.0,0.0,1.8,0.0
855.0,860,850,53,0,0,0,0,0,0,0,59.8,0.0,0.6,0.0,0.0,0.0,1.6,0.0
865.0,870,860,66,0,1,0,0,0,2,0,62.6,0.0,1.2,0.0,0.0,0.0,1.8,0.0
875.0,880,870,76,0,2,0,0,0,2,0,66.6,0.0,1.4,0.0,0.0,0.0,2.2,0.0
885.0,890,880,66,0,3,0,0,0,4,0,71.8,0.0,1.6,0.0,0.0,0.0,3.4,0.0
895.0,900,890,72,0,1,0,0,0,3,0,72.6,0.0,1.4,0.0,0.0,0.0,4.0,0.0
905.0,910,900,79,0,1,0,0,0,6,0,70.4,0.0,1.4,0.0,0.0,0.0,4.6,0.0
915.0,920,910,70,0,0,0,0,0,5,0,69.6,0.0,1.0,0.0,0.0,0.0,4.4,0.0
925.0,930,920,65,0,2,0,0,0,5,0,68.2,0.0,0.8,0.0,0.0,0.0,4.2,0.0
935.0,940,930,62,0,1,0,0,0,3,0,64.6,0.0,0.6,0.0,0.0,0.0,4.0,0.0
945.0,950,940,65,0,0,0,0,0,2,0,63.0,0.0,0.8,0.0,0.0,0.0,3.8,0.0
955.0,960,950,61,0,0,0,0,0,5,0,65.0,0.0,1.2,0.0,0.0,0.0,3.4,0.0
965.0,970,960,62,0,1,0,0,0,4,0,65.0,0.0,1.2,0.0,0.0,0.0,3.4,0.0
975.0,980,970,75,0,4,0,0,0,3,0,,,,,,,,
985.0,990,980,62,0,1,0,0,0,3,0,,,,,,,,
