,text
0,Likely predicted the rent hikes and locked in really good rates for long term leases. That’s how you know they are legit.
1,"I don't go outside until October, problem solved."
2,How long is your mother planning to stay?
3,"I hate it more when I'm here, then travel home or somewhere else and miss all the good parts. 

The cruelest thing will be leaving some day and missing all the amazing parts of the city and kind of forgetting the things you hated about it. "
4,"Live in LIC, it sounds like you've never been there. There's high rises going in everywhere, blocks of brownstones have been slowly bought up and leveled to build new apartments, more and more restaurants are opening instead of former hardware shops, etc. Just within 2 blocks of my apartment there's been 4+ new restaurants. 


Astoria is happening as well, just a bit harder because of some of the roots there imo"
5,No.
6,Just wanted to say congrats on doing some awesome things and well done on the self-care!
7,"The WNYC guy described the weather as ""soupy""."
8,"The answer to your question is of course, yes it's rude. In the greater scheme of possible train-related offenses I'd say it's a more minor one though. Just keep waking them up. "
9,"I read the article which kind of neatly sums up the explanation as, ""there's more demand than we think."" But I think there's a little more to it than that - a reason that the psychics the author interviewed would purposefully not communicate.

I can't recall the source, but I read that the psychic's business model is a lot like freemium gaming. Their walk-in income is negligible. Instead, the true purpose is to bait in a whale - a desperate and vulnerable enough individual which the psychic will cultivate co-dependency with. It's this long-term, repeated client that is the true source of income for the psychic. Like, $100s an hour for phone calls that occur multiple times a week. This might even resemble more of a therapist/life coach relationship, except it's shitty because instead of providing any real source of help, the psychic is probably preying on their vulnerabilities even more."
10,https://www.vice.com/en_us/article/yvqyab/how-do-psychics-survive-in-new-york-city-311
11,"I KNOW THIS ONE!!!  Holy crap!  I just talked to the author of a book about this and asked him this very question.

So, the palm reading business is run by Romas/Gypsies in New York.  They make almost no money on the palm reading but what they do do is find bigger marks through it.

Let's say you go to a palm reader because you are a lonely widow and you want to know if you will find love again.  You can become a target for people preying on this: anywhere from a romantic man will come along and scam your for money or to straight up burglary.  

Names are passed around the community, people work together, etc.

Basically the palm reading places are just a way to find long-term victims.

Want to read a novel about it?

https://www.goodreads.com/book/show/11933530-buried-on-avenue-b

(The author worked extensively with the cop who was on the Gypsie beat in NYC.)  "
12,"In my opinion as an armchair sociologist, it's basically due to proximity of the Lower East Side / Soho. The bohemian/alternative/punk scene in those locations decades ago more easily spread to Brooklyn and that's what set off gentrification. First the artists, then the gentrifiers. Western Queens, by comparison seems to get the working class people in the arts as opposed to the artists. Unlike parts of early Brooklyn which felt more like poor artists moving into affordable neighborhoods and making them ""hip"", Queens gentrification feels like more stable young-professionals realizing these nice family neighborhoods are convenient and slowly bring in ""hip"" culture borrowed from what's going on in Brooklyn. 

LIC is different from all of this though. That's just new development for really rich young-professionals. More of an extension of Turtle Bay/ Murray HIll types than anything in my opinion."
13,It's difficult to run a restaurant from a 3rd floor walkup closet. 
14,[Booed at Yankee Stadium on his birthday](https://sports.yahoo.com/rudy-giuliani-booed-yankee-stadium-birthday-monday-212441887.html).
15,"NO! He was despised up until 9/11 and then had a brief reprieve when he became ""America's Mayor"". Then after trying to politicize 9/11 during his campaign for President back in 2008 (I think), many New Yorkers began to dislike him again.  That deal was sealed when he full-throated-ly backed Donald Trump in 2016. He is despised by many once again.  "
16,"Top hats and tails, for the most part."
