,text
0,all the boys be Putin their dicks in your ass.
1,You using that crypto currency to buy a pregnancy test?
2,"Hello Madison, you have a face shaped like a guitar pick"
3,"Dad’s bod: Check

Mom’s hair: Check

Little Sister’s face and tits: Check "
4,Which ones are the girlfriends? 
5,This is a perfect 10/10 Mulan cosplay. Get it girl!
6,"You couldn't even go one fucking sentence without mentioning CrossFit, huh?"
7,"I present to you, the University of Phoenix JV Masturbation Team. (Guy in the back is on injured reserve)"
8,You look like a girl without boobs
9,I found Barb.
10,"One’s 18, the other’s 13, but combined they’re about a 5."
11,"You could start a band called ""Osama and the never-bin-laid-ens"" "
12,"She has a pirates favorite thing, a sunken chest."
13,Jeez bro has it been 32 years since leg day?
14,Looks like he’s waiting for someone to plow his fields 
15,Goes by his KGB code name ‘Ivanna Suckyercockov.’
16,The real question here is who’s asshole has the most hair on it?
17,Her mom must have been an alcoholic. If those eyes were any further apart she could hear out of them.
18,Cumrade
19,"Be skinny or fat, pick one. "
20,Reading the title i was afraid of having wrong thoughts. Seeing the picture i was sure i wouldn't
21,"fitting in womens clothes for a living isnt cross fit, thats cross dressing."
22,"Huh, I guess not all Thai ladyboys are fuckable."
23,Pretending you're fat so you can avoid insults about anything that might actually hurt. That's the kind of fragile ego we expect from a finance bro.
24,"What in the “30 a gram, aight bro sounds good” is going on in this picture "
25,Buying 5$ of doge coin doesn't count as a fund.  
26,"You didn't have to tell us you were gay, we can see the glasses frames you're wearing. "
27,"Remember: just because Bessie moos, it doesn’t mean she consents to it."
28,"Thinks he's a ""farmer"" because he's playing Farming Simulator '17 on the xbox"
29,"Gay, ginger and Russian...man you got all the bad attributes haven't ya"
30,There's no more pegs.
31,You are the oldest looking 23 year old I’ve ever seen. Jesus Christ.
32,America draws the line on meddling with our erections.
33,This is what Connie from king of the hill grew up to be after being dumped by Bobby smh 
34,"I bet ""queer"" is as deep as your personality goes. "
35,You had sex 4 times???
36,You're a dude? 
37,I would roast you but I don't want to melt your snowmen collection
38,Congratulations on finally being accepted into Analwarts School of Pedocraft and Pickpocketry! 
39,I didn't realize anyone was still on Tumblr by age 30
40,You did that on purpose?  So you're retarded too
41,"She’s like an Ibanez guitar - cheap, flat top, and gets practiced on by fourteen year dropouts."
42,The unfuckables
43,The top hair color came from his aunt and the beard color came from his dad 
44,"Nope. Hang in there bud. Seek help for the depression and anxiety, don’t give up on trying to find new friends. I had a buddy take his own life last year because he felt like he had no friends, and I desperately wish that I knew he felt that way. 

You can downvote me to hell, but depression and the feeling of loneliness is nothing to ignore, that’s where I draw the line.

Have a great day and keep your head up man!"
45,"1 hour and no comments, how do you feel?"
46,"You're not stuck with your mom, she's stuck with you."
47,Did you do your eyebrows with Microsoft paint?
48,"Fashionable male here, can confirm those are not fashion "
49,You look like you're part of a weight watchers support group.
50,"Face says middle aged deadbeat man, hair says slutty 20 year old girl, glasses say tech support, what the fuck are you?"
51,Your hair is probably jealous of your wrists. At least you can cut those in straight lines.
52,You look like the world health organization made an American Girl doll
53,"It's called fashion, sweetie, look it up"
54,That title is probably the most creative thing you'll ever do.
55,Looks like you couldn‘t even get your shower wet
56,Next week you can reuse that sign to say “It’s Twins!”
57,This week on guess that gender....
58,How many cis white males have you blogged about today?
59,This is what happens when you walk into a Guatemalan bordello with five pesos and ask for the Kardashian sisters.
60,Well that shouldve been the clinics job but here we are
61,You look like if DC turned aquaman to womanman
62,Yoko hellnono
63,"The dude in the back has his girlfriend all bandaged up, when will we start taking domestic abuse seriously "
64,"You're an attention whore because you failed at being an actual whore, even if you paid them. "
65,Please flair your post as nsfw
66,"No two times. First time gave his wife a daughter, the second gave his daughter triplets."
67,Every one of their songs would bomb.
68,You look like the girl no one gives the aux cord too.
69,[deleted]
70,"You don’t need to hide your boner bro, we all know why you two are hanging out "
71,You look like the starter girlfriend that every white boy in the suburbs already ran through.
72,This motherfucker is gonna try to tell me about crypto currency...
73,"If the straight leader of your country rides around shirtless on horseback, I can't imagine what you must get up to."
74,She is a member of Flat ~~Earth~~ Chest Society
75,Maybe it's time we try long hair instead of looking like a hard-boiled egg
76,I think one day you can aspire to look like the generic soccer player that has never scored a goal in his life.
77,"You look like Ed Sheeran decided to change his gender, but changed his mind midway through"
78,You look like Lena Dunham fucked a pomegranite.
79,Looks like your stepdad has already got the beatings out of the way for us. 
80,"If we cant end you, the diabetes will soon"
81,Pretty sure you're farming depression by showing your face to the world
82,"With those fingers, I bet you’re the most popular girl in your softball league "
83,You look like my uncle who touches my dog
84,Something tells me that you're going to take after your ancestors. In that you'll be invaded by a rich British bloke and gradually abandoned when he realises you don't have any natural resources to offer.
85,The fact that you had to specify your gender in the title is roast enough.
86,"I bet his pickup line is

LET'S GET DOWN TO BUSINESS"
87,You beg to be choked and then cry about it 
88,"Nice tattoo, did you find that on Pinterest?"
89,"Young McVirgin had a farm 

E, I, E, I, O

no A because he hasn’t learned that letter yet."
90,Why do you look like a mii that got the eye width maxed out 
91,What's it like to be married to Shrek?
92,"""I'm queer"" ""Ok what else about you?"" ""....there's supposed to be more?"""
93,Favorite meal: carrots and sugar cubes.
94,"Baby goats are, in fact, called kids and thankfully they favor their mother over OP."
95,girlfriends? i think being stuck in that cave for so long is still making you all hallucinate. 
96,Steve aoki role playing as a librarian.
97,And a furry so I'm going to hell fur sure
98,"""The smile says ""please like me"" but the eyes say ""please don't hate me."""
99,This poster has multiple submissions of completely different people lol
100,The only thing worse than that idea is your body
101,It must be nice to never get shampoo in your eyes.
102,ugly betty let herself go big time 
103,Me roast you long time
104,"""I think that being nice to girls means that they will want to have sex with me even though I don't shower or wear deodorant."""
105,Lonely.
106,You should hang all the Fleshlights you’ve destroyed on the wall too.
107,If you won't roast my pet then sure I'll roast you
108,can I get the original picture? I'm not sure why you guys face swapped with eachother
109,Your teeth are bigger than your tits.
110,"I want to say: I hope that you are able to overcome the scapegoating and persecution Russia's government is stoking. I hope that you are able to find happiness and peace in a time and place that all too often promises only cruelty. 

Because girl, you have enough problems as it is. Why you trying to look like Drew Carey had a baby with Jane Lynch "
111,"Unfortunately, being a joke doesn't make you a comedian. "
112,Oof right where it hurts
113,“I would but all my money is tied up in tron.”
114,We thought you liked it there
115,"Dude on the right is a public fuckboy #1 lookin, lives in a peaceful suburb but been to the city once and thinks he's hood AF lookin, gangsta rap listening but ain't even have no nipples lookin ass clown who thinks he's hard and probably stole some kids bike one time in middle school"
116,so your wife have to look after 5 teenagers
117,"Honestly, I don't have a clue which is 13 and which is 18"
118,"That hair cut screams ""I'm vegan""."
119,Nestle pure life is the cheapest bottled water you can buy. It’s literally repackaged tap water. What’s wrong with you?
120,Gal GaDon’t
121,Oh damn that hit like a train
122,Well... I don't know about straight
123,Shut up Meg. 
124,"Fuck 😂 not what I was expecting on this subject 😂
Ty homie"
125,"“First time roast”
Do the numerous pig roasts you got in the football locker room not count?"
126,"Not naturally ginger, just a bad dye job. Don't know if that's better or worse"
127,You look like Hagrid's basement dwelling brony brother
128,You literally just signed your own death warrant.
129,Good to see the puberty blockers are working
130,I hope both of you idolize Demi Lovato and follow her footsteps... 
131,It's like Andre the Giant fucked Sloth from The Goonies. 
132,"Damn it. I was gonna go with “I said meddle in their elections, not manhandle their erections!”"
133,The third Mulan looks shitty.
134,"Actual photo of a ""If we're not married by.."" pact. "
135,He might take it positively. Thinking he is unroastable or something. We don’t want that kind of attitude here. 
136,Seth rogen and fat Mia khalifa 
137,"Used sweetie seriously, confirmed gay"
138,"You look like every single Sexuality Mashed together, but homeless"
139,Id say you're hardcore but i doubt anything gets hard around you
140,I’d guess Sal from impractical jokers in the corner there 
141,She never said that
142,Too much self-confident? With that nose? Really? 
143,Haircut says nine year old Minecraft player. Beard says 30 year old pedophile. 
144,Only reason you became a lifeguard was to give mouth to mouth to the toddlers at the pool.
145,Gay but.... lesbian or homo?
146,Looks like someone has a black belt in the throat arts.
