,text
0,"Well, you are just a part of the store fixtures.  Not like you're an actual person or anything..."
1,People. What a bunch of bastards.
2,"Forgot the part where she tells her kids, ""come on, little Timmy. These mean people are why we can't do this thing I promised you!"""
3,"""That's all well and good sir but I'll need you to dig your own hole before I toss you in it"""
4,"You need to treat her like a regular customer.  

Custom order, they pay up front.  

If they want it delivered, there's a delivery fee.  

Order last minute?  There's a rush charge.  

Contract/Order agreements are a must.

If you want to be treated like a business, act like a business.

Disclaimer--&gt; Wife runs a wedding cake bakery and had started out 'at home' with family/friends.  She made mistakes early too.  Now, everyone is a customer."
5,"I mean it's really up to parents to control their children not you, unfortunately your paycheck doesn't cover childcare duties.

On damaging product at least she paid for it, it'll probably teach her to watch them more closely next time they're out shopping. People learn from mistakes not successes, so I think you did the right thing. "
6,"""Just because you're self-important, doesn't mean you're actually important. Also, poor planning on your part, doesn't constitute an emergency on my part.""

I love you."
7,I take being a robotic retail worker to a whole new level lol
8,"Later, the woman is audited. She says to the IRS agent, ""But there was a diamond ring in the box! The person who took my donation must have pocketed it."""
9,"In my experience, the cigarette customers are the worst. That being said, I'm not surprised but still disgusted, your managers at the time were awesome "
10,"If you had said something to the kids, she would have gone off on you. "
11,Do you feel the need to starting skipping and singing like dwaves from Snow White?
12,"Unexpected error occurred, please try again later

/s"
13,Am I the only one who thinks a bed that is so flammable it will catch fire if assembled with power tools is a horrifying safety hazard and probably deserves a negative review?
14,"This is literally how my workplace works, at any given day we can be managerless. No management in the building at all. Only same rank employees. If a customer gets snippy with us we kinda just play it up for the drama till the customer goes away. Usually both employees are in on it from the start however.

You're an awesome manager, look out for your employees and they'll look out for you. Doing a bad job makes them feel guilty as if they've let you down. Sometimes people liking you has more power than actual granted power. "
15,"At one of the libraries in the system I work for a patron had a medical event and passed out right in front of the circulation desk. One of the clerks on duty jumped over the counter to check if she needed CPR while another called 911. Right in the middle of it all the older woman in line behind the passed-out patron griped ""Well now who's going to check out my books?""

The guy who was attending to the unconscious woman said that incident was the closest he had ever come to just hauling off and slapping a patron."
16,"This is just the sweetest thing.

When my brother and I were little (he's 2 years older than I am), and he had a paper route, he would take down to the corner store where he got paid and he would buy me a freezie if it was summer or a warm bun if it was winter.

Brothers are truly wonderful."
17,Good job on standing your ground and not getting flustered.
18,She understood the difference between an eight dollar cushion and a twenty-five dollar cushion perfectly.
19,How *DARE* you not be able to predict the needs of this person you never saw before or again! I'd like to speak with your manager.
20,"As much of a waste of food that it is, safety should be the bottom line standard.

What really gets under my skin is walking around a grocery store and finding things left where they shouldn't be simply because someone was too lazy/stupid/uncaring to return it where they got it from, or give it to an employee and explain they've changed their mind.

It boggles my mind to find meat or fish in a canned good aisle, or produce in a freezer.  I would love to see those customers called out, or charged for the ruined product."
21,Love a positive story. That was incredibly nice of Sunglasses Giver
22,Next time just tell her she has to pay in advance
23,I’m a teacher and this year had a “little Timmy” and his mom would’ve said that and more.   Why do all Timmy’s have THAT mom?!?! 😂😂
24,Call your state/province labor board. They may be able to assist you with unsafe working conditions.
