mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
405.0,410,400,13341,1,21,1,0,0,3,8,,,,,,,,
395.0,400,390,12395,0,20,0,0,0,3,5,,,,,,,,
385.0,390,380,11991,3,12,1,0,0,3,7,12460.6,1.4,15.8,0.4,0.0,0.0,2.6,6.6
375.0,380,370,11156,1,13,0,0,0,2,10,12258.8,1.2,14.4,0.6,0.0,0.0,2.6,6.4
365.0,370,360,13420,2,13,0,0,0,2,3,12663.0,1.2,14.0,1.0,0.0,0.0,3.0,6.6
355.0,360,350,12332,0,14,2,0,0,3,7,13452.6,0.6,15.2,1.0,0.0,0.0,2.6,5.6
345.0,350,340,14416,0,18,2,0,0,5,6,14785.8,1.2,18.4,1.2,0.0,0.0,2.8,5.0
335.0,340,330,15939,0,18,1,0,0,1,2,16601.4,1.4,20.4,1.6,0.0,0.0,2.4,5.6
325.0,330,320,17822,4,29,1,0,0,3,7,17790.6,1.6,21.0,1.4,0.0,0.0,2.0,5.4
315.0,320,310,22498,3,23,2,0,0,0,6,19141.4,1.8,23.2,1.2,0.0,0.0,2.6,5.6
305.0,310,300,18278,1,17,1,0,0,1,6,19906.8,2.0,25.6,1.2,0.0,0.0,2.6,7.0
295.0,300,290,21170,1,29,1,0,0,8,7,20435.8,1.8,24.6,1.6,0.0,0.0,2.0,8.2
285.0,290,280,19766,1,30,1,0,0,1,9,19381.8,1.6,25.8,1.2,0.0,0.0,2.8,8.8
275.0,280,270,20467,3,24,3,0,0,0,13,20609.4,1.8,29.2,1.2,0.0,0.0,3.4,10.6
265.0,270,260,17228,2,29,0,0,0,4,9,22549.4,2.2,31.4,1.0,0.0,0.0,1.8,13.6
255.0,260,250,24416,2,34,1,0,0,4,15,23895.8,2.0,31.6,1.0,0.0,0.0,2.0,14.4
245.0,250,240,30870,3,40,0,0,0,0,22,25724.8,1.6,32.2,0.4,0.0,0.0,2.4,14.2
235.0,240,230,26498,0,31,1,0,0,2,13,27631.8,1.6,31.2,0.8,0.0,0.0,1.6,13.8
225.0,230,220,29612,1,27,0,0,0,2,12,29207.8,1.6,31.2,1.4,0.0,0.0,1.8,12.4
215.0,220,210,26763,2,24,2,0,0,0,7,30673.8,1.4,29.0,1.6,0.0,0.2,2.0,8.8
205.0,210,200,32296,2,34,4,0,0,5,8,32708.0,1.6,32.6,1.6,0.0,0.2,2.4,9.8
195.0,200,190,38200,2,29,1,0,1,1,4,32281.8,1.8,33.8,2.2,0.0,0.2,3.4,9.4
185.0,190,180,36669,1,49,1,0,0,4,18,31856.0,2.0,34.2,1.8,0.0,0.2,4.0,9.8
175.0,180,170,27481,2,33,3,0,0,7,10,31336.6,2.4,34.8,2.0,0.0,0.2,3.4,12.0
165.0,170,160,24634,3,26,0,0,0,3,9,29214.6,2.6,35.4,2.6,0.2,0.0,4.0,14.0
155.0,160,150,29699,4,37,5,0,0,2,19,26737.8,3.0,33.0,2.4,0.4,0.0,3.6,12.0
145.0,150,140,27590,3,32,4,1,0,4,14,27278.8,3.4,32.4,2.0,0.4,0.0,3.0,11.4
135.0,140,130,24285,3,37,0,1,0,2,8,27306.8,2.8,35.2,2.8,0.6,0.0,3.0,12.4
125.0,130,120,30186,4,30,1,0,0,4,7,27221.0,2.2,34.4,2.6,0.6,0.0,3.0,11.0
115.0,120,110,24774,0,40,4,1,0,3,14,26532.8,1.8,34.8,2.0,0.4,0.0,3.2,10.2
105.0,110,100,29270,1,33,4,0,0,2,12,27324.4,1.2,33.8,2.4,0.4,0.0,3.6,9.6
95.0,100,90,24149,1,34,1,0,0,5,10,25585.2,0.8,33.0,2.4,0.4,0.0,4.4,9.6
85.0,90,80,28243,0,32,2,1,0,4,5,26088.4,1.2,31.4,2.2,0.4,0.0,5.2,8.8
75.0,80,70,21490,2,26,1,0,0,8,7,25713.8,2.0,34.2,1.4,0.4,0.0,6.4,8.4
65.0,70,60,27290,2,32,3,1,0,7,10,25551.4,2.2,34.8,2.0,0.6,0.0,5.8,9.6
55.0,60,50,27397,5,47,0,0,0,8,10,25900.4,3.2,36.0,2.4,0.6,0.0,5.8,10.6
45.0,50,40,23337,2,37,4,1,0,2,16,27990.2,3.4,38.6,3.2,0.6,0.0,5.8,12.4
35.0,40,30,29988,5,38,4,1,0,4,10,27782.4,3.0,39.6,2.8,0.4,0.0,5.0,11.8
25.0,30,20,31939,3,39,5,0,0,8,16,28578.4,2.6,36.4,3.4,0.4,0.0,4.0,10.8
15.0,20,10,26251,0,37,1,0,0,3,7,,,,,,,,
5.0,10,0,31377,3,31,3,0,0,3,5,,,,,,,,
