after,before,total,deadass,def,defo,periodt,periot,stan,thot
410,400,9553,0,15,2,0,0,3,1
400,390,10146,1,20,1,0,0,1,2
390,380,9426,0,15,0,0,0,1,2
380,370,9659,0,13,1,0,0,4,0
370,360,10106,0,16,3,0,0,1,0
360,350,11265,1,25,1,0,0,1,0
350,340,11956,0,19,2,0,0,3,2
340,330,10625,0,14,2,0,0,3,0
330,320,11301,1,20,1,0,0,2,0
320,310,12207,1,18,2,0,0,1,2
310,300,12470,1,15,0,0,0,7,2
300,290,12731,0,20,3,0,0,11,1
290,280,17747,1,21,2,0,0,5,0
280,270,14777,0,22,3,0,0,7,1
270,260,12814,1,18,3,0,0,1,0
260,250,15417,0,18,3,0,0,1,1
250,240,13449,2,19,2,2,0,2,3
240,230,14020,1,23,2,0,0,1,4
230,220,14262,1,24,4,1,0,1,0
220,210,13413,0,20,2,0,0,1,1
210,200,13128,2,22,1,1,0,3,2
200,190,11763,2,19,1,0,0,5,0
190,180,11514,2,18,1,0,0,9,2
180,170,12310,1,21,0,0,0,3,6
170,160,12922,1,19,3,0,0,1,2
160,150,12573,1,27,5,0,0,3,1
150,140,10866,0,20,3,0,1,1,0
140,130,10870,0,23,0,0,0,7,1
130,120,12202,1,24,1,0,0,1,2
120,110,13397,3,19,0,1,0,6,0
110,100,12928,1,32,2,0,0,2,1
100,90,12133,3,22,0,0,0,1,0
90,80,11656,3,27,1,0,0,2,1
80,70,10757,1,18,2,0,0,7,2
70,60,12014,1,21,1,0,0,1,1
60,50,12748,0,22,1,0,0,7,2
50,40,11850,1,18,1,0,0,1,1
40,30,14120,0,27,1,0,0,4,0
30,20,11822,0,29,1,1,0,2,0
20,10,12252,1,23,0,1,0,2,0
10,0,11388,0,21,1,1,0,0,0
