after,before,total,deadass,def,defo,periodt,periot,stan,thot
410,400,11190,3,6,0,0,0,4,5
400,390,14023,5,9,1,0,0,7,10
390,380,11650,0,6,2,0,0,5,18
380,370,11314,2,7,0,0,0,1,17
370,360,11247,5,1,1,0,0,5,18
360,350,10376,1,5,0,0,0,7,15
350,340,12132,4,8,0,0,0,3,16
340,330,12020,1,6,0,0,0,4,10
330,320,12026,2,8,1,0,0,2,20
320,310,10690,6,3,1,0,0,4,13
310,300,11485,3,5,1,0,0,10,11
300,290,12101,2,7,1,0,0,25,11
290,280,14547,5,8,0,0,0,3,75
280,270,18649,3,11,0,0,0,5,13
270,260,24861,2,13,1,0,0,7,23
260,250,33488,7,18,2,0,0,8,42
250,240,46063,29,23,1,0,0,13,39
240,230,48190,7,27,3,0,0,18,57
230,220,49947,13,34,1,0,0,23,42
220,210,44510,7,29,2,0,0,15,39
210,200,41254,8,33,2,0,0,23,57
200,190,36861,10,21,1,0,0,11,58
190,180,33407,7,12,1,0,0,5,44
180,170,44244,7,25,4,0,0,20,52
170,160,40561,11,24,3,0,0,17,52
160,150,44194,8,20,2,0,0,14,81
150,140,36694,4,20,2,0,0,9,41
140,130,40608,5,22,1,0,0,20,65
130,120,50090,11,24,4,0,0,20,51
120,110,44381,3,34,7,0,0,11,48
110,100,44376,6,35,3,2,0,13,58
100,90,33934,10,15,1,0,0,4,30
90,80,48166,3,24,4,0,0,9,26
80,70,50251,9,18,7,0,0,14,37
70,60,35052,1,23,1,0,0,5,26
60,50,41664,4,19,3,1,0,8,51
50,40,39817,10,28,0,1,0,6,98
40,30,37131,11,20,2,1,0,11,55
30,20,38131,8,22,4,1,0,8,54
20,10,44683,13,20,2,0,0,6,62
10,0,36028,2,24,2,0,0,10,46
