after,before,total,deadass,def,defo,periodt,periot,stan,thot
410,400,1798,0,1,0,0,0,1,0
400,390,1739,0,0,0,0,0,0,0
390,380,1933,0,3,0,0,0,0,0
380,370,1869,0,1,1,0,0,0,0
370,360,1645,0,0,0,0,0,0,0
360,350,1531,0,2,0,0,0,0,0
350,340,1604,0,1,1,0,0,0,0
340,330,1540,0,1,0,0,0,0,0
330,320,1616,0,0,0,0,0,0,1
320,310,1739,0,1,0,0,0,0,0
310,300,1612,0,0,0,0,0,0,0
300,290,1731,0,1,0,0,0,1,0
290,280,1926,1,0,0,0,0,0,0
280,270,1855,0,3,0,0,0,0,0
270,260,1961,0,0,0,0,0,0,0
260,250,1778,0,0,0,0,0,1,0
250,240,2124,0,0,0,0,0,0,0
240,230,1651,0,0,0,0,0,0,1
230,220,1823,0,0,0,0,0,0,0
220,210,2082,0,2,0,0,0,0,0
210,200,2020,0,2,0,0,0,0,0
200,190,1925,0,0,0,0,0,0,0
190,180,1976,0,2,0,0,0,0,0
180,170,2185,0,0,0,0,0,0,0
170,160,1742,0,2,0,0,0,0,0
160,150,1699,0,1,0,0,0,0,0
150,140,1645,0,4,0,0,0,0,0
140,130,1854,0,0,0,0,0,0,0
130,120,1725,1,0,0,0,0,0,0
120,110,1445,0,1,0,0,0,0,0
110,100,1826,0,0,0,0,0,0,0
100,90,1916,0,1,0,0,0,0,0
90,80,1785,0,1,0,0,0,0,0
80,70,2230,0,1,0,0,0,0,0
70,60,1729,0,2,0,0,0,0,0
60,50,1659,0,1,0,0,0,0,0
50,40,1705,0,1,0,0,0,1,0
40,30,1581,0,4,0,0,0,0,0
30,20,1785,0,3,0,0,0,0,0
20,10,1732,0,2,0,0,0,0,0
10,0,1722,0,1,0,0,0,0,0
