mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
405.0,410,400,2437,0,1,0,0,0,0,0,,,,,,,,
395.0,400,390,2140,0,1,0,0,0,0,0,,,,,,,,
385.0,390,380,1977,0,0,0,0,0,0,0,2022.4,0.0,1.0,0.2,0.0,0.0,0.0,0.0
375.0,380,370,1585,0,1,0,0,0,0,0,1930.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0
365.0,370,360,1973,0,2,1,0,0,0,0,1965.6,0.0,1.4,0.2,0.0,0.0,0.0,0.0
355.0,360,350,1975,0,1,0,0,0,0,0,1995.2,0.0,1.4,0.2,0.0,0.0,0.0,0.0
345.0,350,340,2318,0,3,0,0,0,0,0,2108.4,0.0,1.2,0.2,0.0,0.0,0.0,0.0
335.0,340,330,2125,0,0,0,0,0,0,0,2170.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0
325.0,330,320,2151,0,0,0,0,0,0,0,2090.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
315.0,320,310,2283,0,1,0,0,0,0,0,2047.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
305.0,310,300,1573,0,2,0,0,0,0,0,1996.8,0.0,1.2,0.0,0.0,0.0,0.4,0.0
295.0,300,290,2103,0,2,0,0,0,0,0,2029.6,0.0,1.6,0.0,0.0,0.0,0.4,0.0
285.0,290,280,1874,0,1,0,0,0,2,0,2014.6,0.0,1.6,0.0,0.0,0.0,0.4,0.0
275.0,280,270,2315,0,2,0,0,0,0,0,2020.0,0.0,1.4,0.0,0.0,0.0,0.4,0.0
265.0,270,260,2208,0,1,0,0,0,0,0,1966.2,0.0,1.2,0.0,0.0,0.0,0.4,0.0
255.0,260,250,1600,0,1,0,0,0,0,0,2026.2,0.0,1.4,0.0,0.0,0.0,0.0,0.0
245.0,250,240,1834,0,1,0,0,0,0,0,1971.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0
235.0,240,230,2174,0,2,0,0,0,0,0,1923.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
225.0,230,220,2040,0,1,0,0,0,0,0,1961.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
215.0,220,210,1967,0,2,0,0,0,0,0,1956.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
205.0,210,200,1790,0,0,0,0,0,0,0,1911.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
195.0,200,190,1810,0,0,0,0,0,0,0,1939.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0
185.0,190,180,1952,0,1,0,0,0,0,0,1935.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
175.0,180,170,2178,0,0,0,0,0,0,0,2073.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
165.0,170,160,1947,0,0,0,0,0,0,0,2085.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
155.0,160,150,2480,0,0,0,0,0,0,0,2150.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0
145.0,150,140,1872,0,0,0,0,0,0,0,2115.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0
135.0,140,130,2276,0,2,0,0,0,0,0,2065.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0
125.0,130,120,2003,0,0,0,0,0,0,0,1934.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
115.0,120,110,1698,0,1,0,0,0,0,0,1876.6,0.0,1.0,0.2,0.0,0.0,0.0,0.0
105.0,110,100,1821,0,0,0,0,0,0,0,1857.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0
95.0,100,90,1585,0,2,1,0,0,0,0,1913.0,0.0,1.2,0.2,0.0,0.0,0.0,0.0
85.0,90,80,2179,0,0,0,0,0,0,0,1959.8,0.0,1.0,0.2,0.0,0.0,0.0,0.0
75.0,80,70,2282,0,3,0,0,0,0,0,1969.4,0.0,1.6,0.2,0.0,0.0,0.2,0.0
65.0,70,60,1932,0,0,0,0,0,0,0,1998.0,0.0,1.4,0.0,0.0,0.0,0.2,0.0
55.0,60,50,1869,0,3,0,0,0,1,0,1986.2,0.0,1.6,0.0,0.0,0.0,0.2,0.0
45.0,50,40,1728,0,1,0,0,0,0,0,1912.4,0.0,1.2,0.0,0.0,0.0,0.2,0.0
35.0,40,30,2120,0,1,0,0,0,0,0,1944.6,0.0,1.6,0.0,0.0,0.0,0.4,0.0
25.0,30,20,1913,0,1,0,0,0,0,0,1866.6,0.0,1.2,0.0,0.0,0.0,0.2,0.0
15.0,20,10,2093,0,2,0,0,0,1,0,,,,,,,,
5.0,10,0,1479,0,1,0,0,0,0,0,,,,,,,,
