after,before,total,deadass,def,defo,periodt,periot,stan,thot
410,400,11867,0,9,0,0,0,0,0
400,390,15703,1,4,0,0,0,0,1
390,380,13824,0,6,0,0,0,4,1
380,370,13802,0,11,1,0,0,2,4
370,360,9535,0,9,1,0,0,1,1
360,350,12095,0,11,0,0,0,1,2
350,340,9773,0,7,1,0,0,1,0
340,330,11216,0,5,1,0,0,4,3
330,320,16353,2,8,2,0,0,1,0
320,310,9351,2,6,0,0,0,0,0
310,300,8411,0,6,0,0,0,0,1
300,290,12897,1,15,0,0,0,2,159
290,280,16281,0,9,1,0,0,0,3
280,270,18261,2,17,1,0,0,4,3
270,260,18065,4,16,4,0,0,1,2
260,250,23584,1,27,2,0,0,0,16
250,240,23478,1,14,2,0,0,2,4
240,230,28413,3,26,2,0,0,2,4
230,220,25933,1,17,0,0,0,3,2
220,210,19812,0,11,1,0,0,0,11
210,200,24462,0,17,1,0,0,0,12
200,190,21869,3,26,1,0,0,1,2
190,180,20991,1,5,1,0,0,1,14
180,170,26008,6,23,2,0,0,2,6
170,160,25127,2,28,1,0,0,1,12
160,150,34008,2,33,4,0,0,1,15
150,140,26713,0,20,2,0,0,2,18
140,130,30650,3,29,1,0,0,1,1
130,120,33073,0,24,3,0,0,2,12
120,110,44346,3,56,6,2,0,0,8
110,100,28608,6,31,0,0,0,2,9
100,90,33704,3,25,0,0,0,6,8
90,80,30036,3,23,3,0,0,12,3
80,70,39823,2,31,1,0,0,2,11
70,60,26365,1,22,4,0,0,0,3
60,50,24179,5,10,0,0,0,2,3
50,40,35278,0,27,3,0,0,2,16
40,30,34572,1,42,7,0,0,17,11
30,20,28361,2,23,2,0,0,2,11
20,10,27677,1,20,3,0,0,2,10
10,0,25059,0,25,1,0,0,2,5
