after,before,total,deadass,def,defo,periodt,periot,stan,thot
800,790,2445,0,5,0,0,0,0,0
790,780,3222,0,3,1,0,0,0,0
780,770,2592,0,2,1,0,0,1,1
770,760,2602,0,1,0,0,0,0,1
760,750,2494,0,3,0,0,0,0,0
750,740,2731,0,6,0,0,0,0,0
740,730,2703,0,3,0,0,0,2,0
730,720,2364,0,2,0,0,0,0,0
720,710,2567,0,5,0,0,0,1,0
710,700,2381,0,1,0,0,0,0,0
700,690,3198,0,4,0,0,0,0,1
690,680,3225,0,3,0,0,0,0,0
680,670,3695,0,4,2,0,0,1,1
670,660,3939,0,0,0,0,0,0,0
660,650,3536,0,2,1,0,0,0,0
650,640,3224,0,4,0,0,0,0,1
640,630,2762,0,5,0,0,0,0,0
630,620,3276,0,6,1,0,0,0,0
620,610,2928,0,5,0,0,0,0,0
610,600,2859,0,2,0,0,0,0,0
600,590,3021,0,4,0,0,0,0,0
590,580,3523,0,4,0,0,0,1,0
580,570,3220,0,3,0,0,0,0,5
570,560,3639,0,9,1,0,0,0,1
560,550,4097,0,2,1,0,0,0,1
550,540,3447,1,3,0,0,0,1,1
540,530,3603,0,3,0,0,0,0,1
530,520,3900,0,10,0,0,0,0,0
520,510,3651,1,7,0,0,0,1,0
510,500,3889,0,5,0,0,0,1,1
500,490,3525,0,2,0,0,0,1,2
490,480,3390,2,7,0,0,0,2,0
480,470,3811,0,4,0,0,0,0,2
470,460,4013,0,11,1,0,0,0,0
460,450,4572,2,6,0,0,0,1,0
450,440,4338,0,7,0,0,0,0,1
440,430,3940,1,4,1,0,0,0,2
430,420,4521,1,9,0,0,0,0,0
420,410,4121,0,7,1,0,0,0,5
