mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
795.0,800,790,1647,0,1,1,0,0,0,0,,,,,,,,
785.0,790,780,1564,0,1,0,0,0,0,0,,,,,,,,
775.0,780,770,1732,0,0,3,0,0,0,0,1623.6,0.0,1.2,1.4,0.0,0.0,0.0,0.0
765.0,770,760,1574,0,2,2,0,0,0,0,1609.4,0.0,1.0,1.6,0.0,0.0,0.0,0.0
755.0,760,750,1601,0,2,1,0,0,0,0,1650.2,0.0,1.0,1.8,0.0,0.0,0.0,0.0
745.0,750,740,1576,0,0,2,0,0,0,0,1626.6,0.0,1.2,1.4,0.0,0.0,0.0,0.0
735.0,740,730,1768,0,1,1,0,0,0,0,1639.4,0.0,1.2,1.2,0.0,0.0,0.0,0.0
725.0,730,720,1614,0,1,1,0,0,0,0,1617.4,0.0,1.0,1.4,0.0,0.0,0.0,0.0
715.0,720,710,1638,0,2,1,0,0,0,0,1638.0,0.0,1.0,1.2,0.0,0.0,0.0,0.0
705.0,710,700,1491,0,1,2,0,0,0,0,1605.2,0.0,1.0,1.6,0.0,0.0,0.0,0.0
695.0,700,690,1679,0,0,1,0,0,0,0,1610.4,0.0,1.0,1.8,0.0,0.0,0.0,0.0
685.0,690,680,1604,0,1,3,0,0,0,0,1634.6,0.0,0.8,1.8,0.0,0.0,0.0,0.0
675.0,680,670,1640,0,1,2,0,0,0,0,1684.0,0.0,1.0,1.4,0.0,0.0,0.0,0.0
665.0,670,660,1759,0,1,1,0,0,0,0,1690.0,0.0,1.0,1.2,0.0,0.0,0.0,0.0
655.0,660,650,1738,0,2,0,0,0,0,0,1692.6,0.0,1.2,0.8,0.0,0.0,0.2,0.0
645.0,650,640,1709,0,0,0,0,0,0,0,1659.4,0.0,1.0,0.4,0.0,0.0,0.2,0.0
635.0,640,630,1617,0,2,1,0,0,1,0,1608.8,0.0,1.0,0.4,0.0,0.0,0.2,0.0
625.0,630,620,1474,0,0,0,0,0,0,0,1591.0,0.0,0.8,0.6,0.0,0.0,0.4,0.0
615.0,620,610,1506,0,1,1,0,0,0,0,1623.4,0.0,1.2,1.0,0.0,0.0,0.4,0.0
605.0,610,600,1649,0,1,1,0,0,1,0,1615.0,0.0,1.0,1.6,0.0,0.0,0.4,0.0
595.0,600,590,1871,0,2,2,0,0,0,0,1720.4,0.0,1.2,1.6,0.0,0.0,0.4,0.0
585.0,590,580,1575,0,1,4,0,0,1,0,1840.6,0.0,1.2,2.2,0.0,0.0,0.8,0.0
575.0,580,570,2001,0,1,0,0,0,0,0,1885.4,0.0,1.6,2.6,0.0,0.0,0.6,0.0
565.0,570,560,2107,0,1,4,0,0,2,0,1878.8,0.0,1.6,2.4,0.0,0.0,0.6,0.0
555.0,560,550,1873,0,3,3,0,0,0,0,1929.4,0.0,1.4,2.2,0.0,0.0,0.6,0.0
545.0,550,540,1838,0,2,1,0,0,0,0,1927.6,0.0,1.2,2.6,0.0,0.0,0.6,0.0
535.0,540,530,1828,0,0,3,0,0,1,0,1908.8,0.0,1.0,2.0,0.0,0.0,0.2,0.0
525.0,530,520,1992,0,0,2,0,0,0,0,1979.0,0.0,0.6,2.0,0.0,0.0,0.2,0.0
515.0,520,510,2013,0,0,1,0,0,0,0,2005.6,0.0,0.2,2.0,0.0,0.0,0.2,0.0
505.0,510,500,2224,0,1,3,0,0,0,0,2063.0,0.0,1.2,1.4,0.0,0.0,0.0,0.0
495.0,500,490,1971,0,0,1,0,0,0,0,2097.0,0.2,1.4,1.4,0.0,0.0,0.0,0.0
485.0,490,480,2115,0,5,0,0,0,0,0,2092.2,0.2,2.4,1.6,0.0,0.0,0.0,0.0
475.0,480,470,2162,1,1,2,0,0,0,0,2040.6,0.2,2.4,1.6,0.0,0.0,0.0,0.0
465.0,470,460,1989,0,5,2,0,0,0,0,2049.2,0.2,2.6,1.8,0.0,0.0,0.0,0.0
455.0,460,450,1966,0,1,3,0,0,0,0,1999.6,0.2,1.8,2.4,0.0,0.0,0.0,0.0
445.0,450,440,2014,0,1,2,0,0,0,0,1954.4,0.0,2.0,2.4,0.0,0.0,0.2,0.0
435.0,440,430,1867,0,1,3,0,0,0,0,1919.8,0.0,1.2,2.0,0.0,0.0,0.2,0.0
425.0,430,420,1936,0,2,2,0,0,1,0,,,,,,,,
415.0,420,410,1816,0,1,0,0,0,0,0,,,,,,,,
