mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
795.0,800,790,3006,0,13,1,0,0,0,2,,,,,,,,
785.0,790,780,3048,1,10,0,0,0,0,2,,,,,,,,
775.0,780,770,3085,0,11,1,0,0,1,3,2981.0,0.2,11.8,0.8,0.0,0.0,0.6,2.2
765.0,770,760,2890,0,10,2,0,0,1,1,2992.8,0.2,12.0,1.0,0.0,0.0,0.8,2.0
755.0,760,750,2876,0,15,0,0,0,1,3,2969.4,0.0,11.8,1.2,0.0,0.0,1.8,1.8
745.0,750,740,3065,0,14,2,0,0,1,1,2961.0,0.0,12.8,1.0,0.0,0.0,2.2,1.2
735.0,740,730,2931,0,9,1,0,0,5,1,2988.8,0.0,12.6,0.6,0.0,0.0,2.0,1.0
725.0,730,720,3043,0,16,0,0,0,3,0,3059.2,0.0,11.6,0.6,0.0,0.0,2.2,1.0
715.0,720,710,3029,0,9,0,0,0,0,0,3098.2,0.2,11.4,0.2,0.0,0.0,2.4,1.0
705.0,710,700,3228,0,10,0,0,0,2,3,3175.0,0.2,12.4,0.6,0.0,0.0,1.6,1.2
695.0,700,690,3260,1,13,0,0,0,2,1,3280.8,0.4,11.4,0.6,0.0,0.0,2.6,1.8
685.0,690,680,3315,0,14,3,0,0,1,2,3338.4,0.4,12.0,0.8,0.0,0.0,3.2,2.4
675.0,680,670,3572,1,11,0,0,0,8,3,3409.4,0.4,13.0,1.0,0.0,0.0,3.2,2.0
665.0,670,660,3317,0,12,1,0,0,3,3,3465.2,0.2,12.8,1.2,0.0,0.0,2.8,2.2
655.0,660,650,3583,0,15,1,0,0,2,1,3494.6,0.4,13.8,0.6,0.0,0.0,2.6,2.2
645.0,650,640,3539,0,12,1,0,0,0,2,3507.2,0.2,14.2,0.8,0.0,0.0,1.2,1.8
635.0,640,630,3462,1,19,0,0,0,0,2,3597.8,0.4,14.6,0.8,0.0,0.0,0.6,1.6
625.0,630,620,3635,0,13,1,0,0,1,1,3575.6,0.6,15.8,1.2,0.0,0.0,0.8,1.6
615.0,620,610,3770,1,14,1,0,0,0,2,3531.8,1.2,16.4,1.2,0.0,0.0,0.8,2.4
605.0,610,600,3472,1,21,3,0,0,3,1,3557.0,1.0,15.4,1.2,0.0,0.0,1.0,2.2
595.0,600,590,3320,3,15,1,0,0,0,6,3583.6,1.2,15.4,1.0,0.0,0.0,1.0,2.4
585.0,590,580,3588,0,14,0,0,0,1,1,3617.8,1.2,15.6,1.2,0.0,0.0,1.6,2.4
575.0,580,570,3768,1,13,0,0,0,1,2,3698.0,1.0,15.4,0.8,0.0,0.0,1.4,2.6
565.0,570,560,3941,1,15,2,0,0,3,2,3792.0,0.4,16.0,1.0,0.0,0.0,1.8,1.6
555.0,560,550,3873,0,20,1,0,0,2,2,3875.2,0.4,15.8,1.2,0.0,0.0,2.2,2.2
545.0,550,540,3790,0,18,2,0,0,2,1,3949.8,0.6,16.6,1.4,0.0,0.0,2.2,2.2
535.0,540,530,4004,0,13,1,0,0,3,4,4028.8,0.6,15.8,1.6,0.0,0.0,2.2,2.8
525.0,530,520,4141,2,17,1,0,0,1,2,4114.8,0.8,15.0,1.6,0.0,0.0,1.8,2.8
515.0,520,510,4336,1,11,3,0,0,3,5,4226.0,1.4,13.8,1.4,0.0,0.0,2.2,3.2
505.0,510,500,4303,1,16,1,0,0,0,2,4305.0,1.4,14.4,1.6,0.0,0.0,2.8,3.2
495.0,500,490,4346,3,12,1,0,0,4,3,4347.6,1.0,13.0,1.6,0.0,0.0,3.8,3.2
485.0,490,480,4399,0,16,2,0,0,6,4,4346.6,0.8,13.4,1.6,0.0,0.0,3.8,2.6
475.0,480,470,4354,0,10,1,0,0,6,2,4327.2,0.8,14.6,1.6,0.0,0.0,4.0,2.8
465.0,470,460,4331,0,13,3,0,0,3,2,4305.0,0.4,15.6,1.6,0.0,0.0,3.4,2.8
455.0,460,450,4206,1,22,1,0,0,1,3,4322.0,0.6,16.6,1.4,0.0,0.0,3.0,2.8
445.0,450,440,4235,1,17,1,0,0,1,3,4345.6,0.8,16.6,1.2,0.0,0.0,2.8,2.6
435.0,440,430,4484,1,21,1,0,0,4,4,4439.6,1.0,19.8,1.2,0.0,0.0,3.0,2.6
425.0,430,420,4472,1,10,0,0,0,5,1,,,,,,,,
415.0,420,410,4801,1,29,3,0,0,4,2,,,,,,,,
