after,before,total,deadass,def,defo,periodt,periot,stan,thot
800,790,1036,0,5,0,0,0,0,0
790,780,1170,0,4,0,0,0,0,0
780,770,1110,0,6,0,0,0,0,0
770,760,1165,0,4,0,0,0,0,0
760,750,1199,0,7,0,0,0,1,0
750,740,1139,0,6,0,0,0,0,0
740,730,1085,0,1,0,0,0,0,0
730,720,1577,2,3,0,0,0,0,0
720,710,1236,3,13,0,0,0,0,1
710,700,1203,0,1,0,0,0,2,0
700,690,1276,1,4,1,0,0,0,0
690,680,1252,0,7,1,0,0,0,0
680,670,1258,0,4,0,0,0,0,0
670,660,1355,0,8,0,0,0,0,0
660,650,1208,0,4,0,0,0,0,0
650,640,1278,0,9,0,0,0,1,0
640,630,1233,0,4,0,0,0,0,0
630,620,1285,1,5,0,0,0,1,0
620,610,1288,0,13,0,0,0,0,0
610,600,1242,1,7,0,0,0,1,0
600,590,1257,0,6,0,0,0,2,0
590,580,1345,0,10,0,0,0,0,0
580,570,1459,0,9,0,0,0,2,0
570,560,1466,0,6,0,0,0,0,0
560,550,1435,2,8,0,0,0,0,0
550,540,1373,0,5,0,0,0,0,0
540,530,1385,0,4,0,0,0,0,0
530,520,1441,0,12,0,0,0,0,1
520,510,1443,2,5,0,0,0,0,0
510,500,1526,7,4,0,0,0,0,0
500,490,1468,1,11,0,0,0,0,0
490,480,1517,0,5,0,0,0,0,0
480,470,1493,0,6,0,0,0,0,0
470,460,1495,0,9,0,0,0,0,0
460,450,1655,1,8,0,0,0,0,0
450,440,1737,0,6,0,0,0,0,0
440,430,1498,0,3,0,0,0,0,0
430,420,1454,0,7,0,0,0,0,0
420,410,1489,0,3,0,0,0,0,0
