mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
795.0,800,790,15458,0,30,3,0,0,1,1,,,,,,,,
785.0,790,780,17111,0,45,2,0,0,0,1,,,,,,,,
775.0,780,770,15434,0,43,3,0,0,5,4,16060.4,0.0,35.6,2.6,0.0,0.0,2.2,1.6
765.0,770,760,16811,0,31,0,0,0,4,1,16118.4,0.0,37.8,2.2,0.0,0.0,2.6,1.8
755.0,760,750,15488,0,29,5,0,0,1,1,15933.2,0.0,35.4,2.0,0.0,0.0,2.6,1.6
745.0,750,740,15748,0,41,1,0,0,3,2,16161.4,0.2,33.6,1.8,0.0,0.0,3.0,1.0
735.0,740,730,16185,0,33,1,0,0,0,0,16302.2,0.2,37.4,1.8,0.0,0.0,2.6,0.8
725.0,730,720,16575,1,34,2,0,0,7,1,16609.4,0.4,42.0,1.2,0.0,0.0,3.0,0.8
715.0,720,710,17515,0,50,0,0,0,2,0,17350.8,0.4,40.6,1.4,0.0,0.0,3.4,1.0
705.0,710,700,17024,1,52,2,0,0,3,1,17823.4,0.6,41.6,1.8,0.0,0.0,4.0,1.2
695.0,700,690,19455,0,34,2,0,0,5,3,18469.2,0.4,42.8,2.2,0.0,0.0,2.8,1.8
685.0,690,680,18548,1,38,3,0,0,3,1,18944.8,0.6,41.6,2.4,0.0,0.0,2.6,2.6
675.0,680,670,19804,0,40,4,0,0,1,4,19261.6,0.6,38.0,2.6,0.0,0.0,2.4,3.4
665.0,670,660,19893,1,44,1,0,0,1,4,19057.8,0.6,40.2,2.4,0.0,0.0,2.4,3.2
655.0,660,650,18608,1,34,3,0,0,2,5,18838.2,0.6,44.4,2.0,0.0,0.0,2.2,3.2
645.0,650,640,18436,0,45,1,0,0,5,2,18669.0,0.6,46.6,1.2,0.0,0.0,3.2,3.0
635.0,640,630,17450,1,59,1,0,0,2,1,18374.6,0.6,44.8,1.4,0.0,0.0,3.8,2.4
625.0,630,620,18958,0,51,0,0,0,6,3,18153.0,0.4,47.4,1.6,0.0,0.0,3.8,2.2
615.0,620,610,18421,1,35,2,0,0,4,1,18123.6,0.4,44.6,2.0,0.0,0.0,3.2,2.0
605.0,610,600,17500,0,47,4,0,0,2,4,18319.0,0.4,44.2,2.4,0.0,0.0,3.4,2.6
595.0,600,590,18289,0,31,3,0,0,2,1,18502.0,0.8,43.0,2.6,0.0,0.0,3.4,2.8
585.0,590,580,18427,1,57,3,0,0,3,4,18524.2,0.6,45.2,3.2,0.0,0.0,3.6,2.8
575.0,580,570,19873,2,45,1,0,0,6,4,18674.4,0.6,45.6,2.6,0.0,0.0,3.4,2.4
565.0,570,560,18532,0,46,5,0,0,5,1,18504.6,0.6,50.0,2.2,0.0,0.0,3.2,4.0
555.0,560,550,18251,0,49,1,0,0,1,2,18462.8,1.0,47.2,2.0,0.0,0.0,3.0,4.2
545.0,550,540,17440,0,53,1,0,0,1,9,18277.8,0.8,48.4,2.2,0.0,0.0,2.0,4.0
535.0,540,530,18218,3,43,2,0,0,2,5,18204.6,1.4,47.8,1.6,0.0,0.0,1.6,4.2
525.0,530,520,18948,1,51,2,0,0,1,3,18327.6,1.4,49.4,1.8,0.0,0.0,2.2,5.0
515.0,520,510,18166,3,43,2,0,0,3,2,18293.4,1.6,47.6,2.0,0.0,0.0,2.6,3.2
505.0,510,500,18866,0,57,2,0,0,4,6,18505.8,1.0,46.4,1.8,0.0,0.0,2.6,2.2
495.0,500,490,17269,1,44,2,0,0,3,0,18445.0,1.0,44.8,1.8,0.0,0.0,2.4,2.8
485.0,490,480,19280,0,37,1,0,0,2,0,18547.6,0.6,47.4,2.6,0.0,0.0,2.0,3.2
475.0,480,470,18644,1,43,2,0,0,0,6,18418.6,1.0,46.4,2.4,0.0,0.0,1.6,2.0
465.0,470,460,18679,1,56,6,0,0,1,4,18535.2,0.8,48.6,2.6,0.0,0.0,1.8,2.6
455.0,460,450,18221,2,52,1,0,0,2,0,18506.4,0.8,52.6,2.8,0.0,0.0,3.2,3.0
445.0,450,440,17852,0,55,3,0,0,4,3,18482.8,0.6,52.6,3.0,0.0,0.0,3.6,2.4
435.0,440,430,19136,0,57,2,0,0,9,2,18409.8,0.6,51.8,2.0,0.0,0.0,3.6,1.8
425.0,430,420,18526,0,43,3,0,0,2,3,,,,,,,,
415.0,420,410,18314,1,52,1,0,0,1,1,,,,,,,,
