mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
795.0,800,790,10845,1,3,1,0,0,2,6,,,,,,,,
785.0,790,780,8098,0,3,1,0,0,3,1,,,,,,,,
775.0,780,770,8287,0,4,0,0,0,4,6,8385.8,0.8,4.2,0.6,0.0,0.0,2.4,3.4
765.0,770,760,7940,3,7,1,0,0,0,2,7884.2,0.6,4.6,0.4,0.0,0.0,3.0,3.6
755.0,760,750,6759,0,4,0,0,0,3,2,8120.2,1.0,5.0,0.4,0.0,0.0,3.4,5.8
745.0,750,740,8337,0,5,0,0,0,5,7,7981.0,1.2,5.8,0.4,0.0,0.0,2.8,5.8
735.0,740,730,9278,2,5,1,0,0,5,12,8207.4,0.8,5.6,0.2,0.0,0.0,3.4,6.8
725.0,730,720,7591,1,8,0,0,0,1,6,8537.6,1.0,5.8,0.2,0.0,0.0,3.8,8.2
715.0,720,710,9072,1,6,0,0,0,3,7,8640.2,1.2,6.8,0.2,0.0,0.0,3.0,7.2
705.0,710,700,8410,1,5,0,0,0,5,9,8462.8,1.0,7.2,0.0,0.0,0.0,3.0,7.2
695.0,700,690,8850,1,10,0,0,0,1,2,8734.2,1.2,6.8,0.0,0.0,0.0,3.4,7.8
685.0,690,680,8391,1,7,0,0,0,5,12,9111.2,1.6,6.6,0.0,0.0,0.0,3.6,7.4
675.0,680,670,8948,2,6,0,0,0,3,9,9494.6,1.4,6.4,0.2,0.0,0.0,2.8,6.8
665.0,670,660,10957,3,5,0,0,0,4,5,9866.4,1.6,6.4,0.2,0.0,0.0,3.8,8.2
655.0,660,650,10327,0,4,1,0,0,1,6,10078.4,1.8,5.6,0.2,0.0,0.0,3.4,7.0
645.0,650,640,10709,2,10,0,0,0,6,9,10300.2,1.8,5.4,0.2,0.0,0.0,3.0,6.0
635.0,640,630,9451,2,3,0,0,0,3,6,9921.4,1.4,5.2,0.2,0.0,0.0,2.8,6.6
625.0,630,620,10057,2,5,0,0,0,1,4,10007.6,1.4,5.2,0.0,0.0,0.0,3.4,7.6
615.0,620,610,9063,1,4,0,0,0,3,8,9873.0,1.2,4.4,0.0,0.0,0.0,3.2,7.2
605.0,610,600,10758,0,4,0,0,0,4,11,9919.6,1.6,4.8,0.2,0.0,0.0,3.4,7.2
595.0,600,590,10036,1,6,0,0,0,5,7,9885.2,2.0,5.2,0.2,0.0,0.0,3.8,7.2
585.0,590,580,9684,4,5,1,0,0,4,6,10257.2,1.8,5.2,0.2,0.0,0.0,3.8,8.4
575.0,580,570,9885,4,7,0,0,0,3,4,10548.6,2.2,5.4,0.2,0.0,0.0,3.4,25.2
565.0,570,560,10923,0,4,0,0,0,3,14,10912.2,3.2,5.4,0.2,0.0,0.0,3.2,25.8
555.0,560,550,12215,2,5,0,0,0,2,95,11109.6,2.8,5.2,0.0,0.0,0.0,3.4,27.2
545.0,550,540,11854,6,6,0,0,0,4,10,11206.2,2.2,4.4,0.0,0.0,0.0,3.2,31.0
535.0,540,530,10671,2,4,0,0,0,5,13,11113.0,2.8,4.6,0.2,0.0,0.0,3.8,30.8
525.0,530,520,10368,1,3,0,0,0,2,23,10922.0,2.6,5.0,0.2,0.0,0.0,4.0,13.4
515.0,520,510,10457,3,5,1,0,0,6,13,10802.4,1.6,4.8,0.2,0.0,0.0,3.8,13.6
505.0,510,500,11260,1,7,0,0,0,3,8,11014.2,1.4,5.4,0.4,0.0,0.0,3.8,13.2
495.0,500,490,11256,1,5,0,0,0,3,11,11101.0,1.6,5.4,0.4,0.0,0.0,3.8,10.8
485.0,490,480,11730,1,7,1,0,0,5,11,11747.6,1.4,6.0,0.4,0.0,0.0,3.0,12.2
475.0,480,470,10802,2,3,0,0,0,2,11,11745.0,2.0,4.6,0.6,0.0,0.0,2.4,12.4
465.0,470,460,13690,2,8,1,0,0,2,20,11349.2,2.2,4.2,1.2,0.0,0.0,2.6,11.4
455.0,460,450,11247,4,0,1,0,0,0,9,10995.6,2.4,3.4,1.2,0.0,0.0,2.2,10.6
445.0,450,440,9277,2,3,3,0,0,4,6,11353.0,2.8,3.2,1.2,0.0,0.0,2.2,13.4
435.0,440,430,9962,2,3,1,0,0,3,7,10875.8,3.8,2.6,1.2,0.0,0.0,2.6,11.6
425.0,430,420,12589,4,2,0,0,0,2,25,,,,,,,,
415.0,420,410,11304,7,5,1,0,0,4,11,,,,,,,,
