mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
795.0,800,790,2482,0,2,0,0,0,0,0,,,,,,,,
785.0,790,780,2857,0,2,0,0,0,0,0,,,,,,,,
775.0,780,770,2363,0,0,0,0,0,0,0,2582.4,0.0,1.2,0.0,0.0,0.0,0.0,0.0
765.0,770,760,2872,0,1,0,0,0,0,0,2553.8,0.0,1.0,0.0,0.0,0.0,0.0,0.2
755.0,760,750,2338,0,1,0,0,0,0,0,2425.2,0.0,0.8,0.0,0.0,0.0,0.0,0.2
745.0,750,740,2339,0,1,0,0,0,0,1,2408.6,0.0,1.2,0.0,0.0,0.0,0.0,0.2
735.0,740,730,2214,0,1,0,0,0,0,0,2359.2,0.0,1.2,0.0,0.0,0.0,0.0,0.2
725.0,730,720,2280,0,2,0,0,0,0,0,2457.2,0.2,1.0,0.2,0.0,0.0,0.0,0.2
715.0,720,710,2625,0,1,0,0,0,0,0,2504.0,0.2,0.8,0.2,0.0,0.0,0.0,0.0
705.0,710,700,2828,1,0,1,0,0,0,0,2554.0,0.2,0.8,0.2,0.0,0.0,0.0,0.0
695.0,700,690,2573,0,0,0,0,0,0,0,2591.6,0.2,1.2,0.2,0.0,0.0,0.0,0.2
685.0,690,680,2464,0,1,0,0,0,0,0,2630.4,0.2,1.0,0.4,0.0,0.0,0.0,0.2
675.0,680,670,2468,0,4,0,0,0,0,1,2532.4,0.0,1.0,0.2,0.0,0.0,0.0,0.2
665.0,670,660,2819,0,0,1,0,0,0,0,2531.2,0.0,1.0,0.2,0.0,0.0,0.0,0.2
655.0,660,650,2338,0,0,0,0,0,0,0,2448.4,0.0,0.8,0.2,0.0,0.0,0.0,0.2
645.0,650,640,2567,0,0,0,0,0,0,0,2366.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
635.0,640,630,2050,0,0,0,0,0,0,0,2224.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0
625.0,630,620,2056,0,0,0,0,0,0,0,2172.6,0.0,0.4,0.0,0.0,0.0,0.4,0.0
615.0,620,610,2110,0,1,0,0,0,1,0,2015.2,0.0,0.6,0.2,0.0,0.0,0.4,0.0
605.0,610,600,2080,0,1,0,0,0,1,0,2020.0,0.0,1.0,0.2,0.0,0.0,0.4,0.0
595.0,600,590,1780,0,1,1,0,0,0,0,1908.8,0.0,1.2,0.2,0.0,0.0,0.4,0.0
585.0,590,580,2074,0,2,0,0,0,0,0,1842.8,0.0,1.2,0.2,0.0,0.0,0.2,0.0
575.0,580,570,1500,0,1,0,0,0,0,0,1787.0,0.0,1.4,0.2,0.0,0.0,0.0,0.0
565.0,570,560,1780,0,1,0,0,0,0,0,1780.2,0.0,1.2,0.0,0.0,0.0,0.4,0.0
555.0,560,550,1801,0,2,0,0,0,0,0,1735.8,0.2,0.8,0.0,0.0,0.0,0.4,0.0
545.0,550,540,1746,0,0,0,0,0,2,0,1855.8,0.2,0.6,0.0,0.0,0.0,0.4,0.0
535.0,540,530,1852,1,0,0,0,0,0,0,1910.0,0.6,0.6,0.2,0.0,0.0,0.4,0.0
525.0,530,520,2100,0,0,0,0,0,0,0,2008.2,0.6,0.4,0.2,0.0,0.0,0.4,0.0
515.0,520,510,2051,2,1,1,0,0,0,0,2090.2,0.6,0.4,0.2,0.0,0.0,0.0,0.0
505.0,510,500,2292,0,1,0,0,0,0,0,2085.2,0.4,0.6,0.2,0.0,0.0,0.0,0.0
495.0,500,490,2156,0,0,0,0,0,0,0,2028.4,0.4,0.6,0.4,0.0,0.0,0.0,0.0
485.0,490,480,1827,0,1,0,0,0,0,0,2038.0,0.2,0.8,0.2,0.0,0.0,0.0,0.0
475.0,480,470,1816,0,0,1,0,0,0,0,1912.4,0.2,1.0,0.2,0.0,0.0,0.0,0.0
465.0,470,460,2099,1,2,0,0,0,0,0,1815.8,0.2,1.2,0.2,0.0,0.0,0.0,0.0
455.0,460,450,1664,0,2,0,0,0,0,0,1833.2,0.2,1.2,0.2,0.0,0.0,0.4,0.0
445.0,450,440,1673,0,1,0,0,0,0,0,1832.4,0.2,1.2,0.0,0.0,0.0,0.6,0.0
435.0,440,430,1914,0,1,0,0,0,2,0,1793.8,0.0,1.0,0.0,0.0,0.0,0.6,0.0
425.0,430,420,1812,0,0,0,0,0,1,0,,,,,,,,
415.0,420,410,1906,0,1,0,0,0,0,0,,,,,,,,
