after,before,total,deadass,def,defo,periodt,periot,stan,thot
800,790,2596,0,2,0,0,0,9,0
790,780,2781,0,1,0,0,0,0,0
780,770,2801,0,2,0,0,0,0,0
770,760,2562,0,3,0,0,0,3,0
760,750,2783,0,0,0,0,0,1,0
750,740,2599,0,2,0,0,0,0,0
740,730,2798,0,0,0,0,0,0,0
730,720,2162,0,0,0,0,0,1,0
720,710,3421,0,0,0,0,0,0,0
710,700,2534,0,0,0,0,0,0,0
700,690,2655,0,0,0,0,0,0,0
690,680,1934,0,0,0,0,0,0,0
680,670,2087,0,0,0,0,0,0,0
670,660,2573,0,0,0,0,0,1,0
660,650,2105,0,1,0,0,0,0,0
650,640,2534,0,2,0,0,0,0,0
640,630,1830,0,0,0,0,0,0,0
630,620,2138,0,3,0,0,0,0,0
620,610,1739,0,1,0,0,0,0,0
610,600,2028,0,0,0,0,0,0,0
600,590,2019,0,2,0,0,0,0,0
590,580,2337,0,2,0,0,0,0,0
580,570,2391,0,2,0,0,0,0,0
570,560,2265,0,0,0,0,0,0,0
560,550,2241,0,0,0,0,0,0,0
550,540,2119,0,2,0,0,0,0,0
540,530,2120,0,1,0,0,0,0,0
530,520,2284,0,0,0,0,0,0,0
520,510,2467,0,0,0,0,0,0,0
510,500,2452,0,2,0,0,0,0,0
500,490,2115,0,0,0,0,0,1,0
490,480,2876,0,0,0,0,0,0,0
480,470,2484,0,1,0,0,0,0,0
470,460,2234,0,0,0,0,0,0,0
460,450,2054,0,0,0,0,0,1,0
450,440,1917,0,0,0,0,0,1,0
440,430,2130,0,3,0,0,0,0,0
430,420,2161,0,1,0,0,0,0,1
420,410,2299,0,0,0,0,0,0,0
