mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
1205.0,1210,1200,1523,0,3,0,0,0,0,0,,,,,,,,
1195.0,1200,1190,1408,0,4,0,0,0,1,0,,,,,,,,
1185.0,1190,1180,1739,0,2,0,0,0,0,0,1570.8,0.0,3.0,0.0,0.0,0.0,0.2,0.2
1175.0,1180,1170,1564,0,3,0,0,0,0,0,1583.4,0.0,2.4,0.0,0.0,0.0,0.2,0.2
1165.0,1170,1160,1620,0,3,0,0,0,0,1,1634.6,0.0,1.8,0.0,0.0,0.0,0.0,0.2
1155.0,1160,1150,1586,0,0,0,0,0,0,0,1731.4,0.0,2.0,0.0,0.0,0.0,0.0,0.2
1145.0,1150,1140,1664,0,1,0,0,0,0,0,1761.8,0.0,1.6,0.0,0.0,0.0,0.0,0.4
1135.0,1140,1130,2223,0,3,0,0,0,0,0,1840.8,0.0,1.6,0.0,0.0,0.0,0.4,0.2
1125.0,1130,1120,1716,0,1,0,0,0,0,1,1900.4,0.0,1.8,0.0,0.0,0.0,0.4,0.2
1115.0,1120,1110,2015,0,3,0,0,0,2,0,1945.6,0.0,1.8,0.0,0.0,0.0,0.4,0.2
1105.0,1110,1100,1884,0,1,0,0,0,0,0,1860.4,0.0,1.2,0.0,0.0,0.0,0.4,0.2
1095.0,1100,1090,1890,0,1,0,0,0,0,0,1925.6,0.4,1.2,0.2,0.0,0.0,0.6,0.0
1085.0,1090,1080,1797,0,0,0,0,0,0,0,1895.2,0.4,1.0,0.4,0.0,0.0,0.2,0.0
1075.0,1080,1070,2042,2,1,1,0,0,1,0,1979.4,0.4,1.2,0.4,0.0,0.0,0.4,0.0
1065.0,1070,1060,1863,0,2,1,0,0,0,0,1990.2,0.4,1.8,0.4,0.0,0.0,0.4,0.0
1055.0,1060,1050,2305,0,2,0,0,0,1,0,2021.2,0.4,2.0,0.4,0.0,0.0,0.4,0.0
1045.0,1050,1040,1944,0,4,0,0,0,0,0,2022.2,0.0,2.6,0.2,0.0,0.0,0.6,0.0
1035.0,1040,1030,1952,0,1,0,0,0,0,0,2067.8,0.0,2.4,0.0,0.0,0.0,0.6,0.0
1025.0,1030,1020,2047,0,4,0,0,0,2,0,2047.8,0.0,2.4,0.0,0.0,0.0,0.6,0.0
1015.0,1020,1010,2091,0,1,0,0,0,0,0,2053.0,0.0,1.8,0.0,0.0,0.0,0.6,0.0
1005.0,1010,1000,2205,0,2,0,0,0,1,0,2130.6,0.0,2.4,0.0,0.0,0.0,0.6,0.0
995.0,1000,990,1970,0,1,0,0,0,0,0,2230.6,0.0,1.6,0.0,0.0,0.0,0.2,0.0
985.0,990,980,2340,0,4,0,0,0,0,0,2312.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0
975.0,980,970,2547,0,0,0,0,0,0,0,2284.4,0.0,2.0,0.2,0.0,0.0,0.2,0.0
965.0,970,960,2498,0,3,0,0,0,0,0,2307.0,0.0,2.2,0.2,0.0,0.0,0.4,0.0
955.0,960,950,2067,0,2,1,0,0,1,0,2272.2,0.0,2.6,0.4,0.0,0.0,0.8,0.0
945.0,950,940,2083,0,2,0,0,0,1,0,2208.2,0.0,2.8,0.4,0.0,0.0,0.8,0.0
935.0,940,930,2166,0,6,1,0,0,2,0,2145.6,0.0,2.8,0.4,0.0,0.0,1.0,0.0
925.0,930,920,2227,0,1,0,0,0,0,0,2317.6,0.0,3.2,0.4,0.0,0.0,0.8,0.0
915.0,920,910,2185,0,3,0,0,0,1,0,2389.4,0.0,3.0,0.4,0.0,0.0,0.6,0.0
905.0,910,900,2927,0,4,1,0,0,0,0,2479.2,0.0,2.0,0.2,0.0,0.0,0.2,0.0
895.0,900,890,2442,0,1,0,0,0,0,0,2546.2,0.0,2.2,0.4,0.0,0.0,0.6,0.0
885.0,890,880,2615,0,1,0,0,0,0,0,2581.6,0.0,3.0,0.4,0.0,0.0,0.6,0.0
875.0,880,870,2562,0,2,1,0,0,2,0,2430.2,0.0,3.0,0.4,0.0,0.0,0.6,0.2
865.0,870,860,2362,0,7,0,0,0,1,0,2385.8,0.0,3.0,0.6,0.0,0.0,0.6,0.2
855.0,860,850,2170,0,4,1,0,0,0,1,2343.8,0.2,3.2,0.6,0.0,0.0,0.6,0.2
845.0,850,840,2220,0,1,1,0,0,0,0,2268.4,0.2,3.8,0.4,0.0,0.0,0.4,0.2
835.0,840,830,2405,1,2,0,0,0,0,0,2290.6,0.2,3.0,0.4,0.0,0.0,0.2,0.2
825.0,830,820,2185,0,5,0,0,0,1,0,2369.8,0.2,2.6,0.2,0.0,0.0,0.4,0.0
815.0,820,810,2473,0,3,0,0,0,0,0,2415.8,0.2,3.4,0.0,0.0,0.0,0.4,0.0
805.0,810,800,2566,0,2,0,0,0,1,0,2576.4,0.0,3.6,0.2,0.0,0.0,0.4,0.0
795.0,800,790,2450,0,5,0,0,0,0,0,2669.6,0.0,3.0,0.4,0.0,0.0,0.4,0.2
785.0,790,780,3208,0,3,1,0,0,0,0,2683.6,0.0,2.6,0.4,0.0,0.0,0.4,0.4
775.0,780,770,2651,0,2,1,0,0,1,1,,,,,,,,
765.0,770,760,2543,0,1,0,0,0,0,1,,,,,,,,
