mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
1205.0,1210,1200,755,0,5,1,0,0,0,0,,,,,,,,
1195.0,1200,1190,729,0,5,0,0,0,0,0,,,,,,,,
1185.0,1190,1180,864,0,8,0,0,0,1,0,794.0,0.0,4.8,0.2,0.0,0.0,0.2,0.0
1175.0,1180,1170,846,0,3,0,0,0,0,0,808.8,0.0,4.4,0.0,0.0,0.0,0.2,0.0
1165.0,1170,1160,776,0,3,0,0,0,0,0,841.8,0.0,4.8,0.0,0.0,0.0,0.4,0.0
1155.0,1160,1150,829,0,3,0,0,0,0,0,834.0,0.0,3.8,0.2,0.0,0.0,0.2,0.0
1145.0,1150,1140,894,0,7,0,0,0,1,0,854.0,0.0,4.2,0.2,0.0,0.0,0.2,0.0
1135.0,1140,1130,825,0,3,1,0,0,0,0,885.8,0.2,4.2,0.2,0.0,0.0,0.2,0.0
1125.0,1130,1120,946,0,5,0,0,0,0,0,923.4,0.2,5.6,0.2,0.0,0.0,0.2,0.0
1115.0,1120,1110,935,1,3,0,0,0,0,0,937.4,0.2,5.2,0.2,0.0,0.0,0.0,0.0
1105.0,1110,1100,1017,0,10,0,0,0,0,0,961.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0
1095.0,1100,1090,964,0,5,0,0,0,0,0,954.6,0.2,5.0,0.0,0.0,0.0,0.2,0.0
1085.0,1090,1080,943,0,2,0,0,0,0,0,948.2,0.0,5.0,0.0,0.0,0.0,0.2,0.0
1075.0,1080,1070,914,0,5,0,0,0,1,0,911.4,0.0,3.4,0.0,0.0,0.0,0.2,0.0
1065.0,1070,1060,903,0,3,0,0,0,0,0,884.6,0.0,2.8,0.0,0.0,0.0,0.2,0.0
1055.0,1060,1050,833,0,2,0,0,0,0,0,898.0,0.0,3.4,0.0,0.0,0.0,0.4,0.0
1045.0,1050,1040,830,0,2,0,0,0,0,0,896.4,0.4,3.2,0.0,0.0,0.0,0.2,0.0
1035.0,1040,1030,1010,0,5,0,0,0,1,0,909.6,0.4,3.8,0.0,0.0,0.0,0.2,0.0
1025.0,1030,1020,906,2,4,0,0,0,0,0,937.6,0.4,5.0,0.0,0.0,0.0,0.2,0.0
1015.0,1020,1010,969,0,6,0,0,0,0,0,957.2,0.6,5.4,0.0,0.0,0.0,0.2,0.0
1005.0,1010,1000,973,0,8,0,0,0,0,0,950.0,0.6,4.6,0.0,0.0,0.0,0.0,0.0
995.0,1000,990,928,1,4,0,0,0,0,0,987.4,0.6,5.4,0.0,0.0,0.0,0.0,0.0
985.0,990,980,974,0,1,0,0,0,0,0,984.6,0.6,4.6,0.2,0.0,0.0,0.0,0.0
975.0,980,970,1093,2,8,0,0,0,0,0,978.4,0.6,4.0,0.2,0.0,0.0,0.0,0.0
965.0,970,960,955,0,2,1,0,0,0,0,976.4,0.6,4.2,0.2,0.0,0.0,0.0,0.0
955.0,960,950,942,0,5,0,0,0,0,0,984.6,0.6,5.4,0.2,0.0,0.0,0.0,0.0
945.0,950,940,918,1,5,0,0,0,0,0,961.4,0.2,4.4,0.2,0.0,0.0,0.0,0.0
935.0,940,930,1015,0,7,0,0,0,0,0,970.8,0.2,4.2,0.0,0.0,0.0,0.0,0.0
925.0,930,920,977,0,3,0,0,0,0,0,984.6,0.2,4.4,0.0,0.0,0.0,0.0,0.0
915.0,920,910,1002,0,1,0,0,0,0,0,1007.8,0.0,4.4,0.0,0.0,0.0,0.0,0.0
905.0,910,900,1011,0,6,0,0,0,0,0,1011.4,0.0,4.0,0.0,0.0,0.0,0.0,0.0
895.0,900,890,1034,0,5,0,0,0,0,0,1019.4,0.0,4.0,0.0,0.0,0.0,0.0,0.0
885.0,890,880,1033,0,5,0,0,0,0,0,1036.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
875.0,880,870,1017,0,3,0,0,0,0,0,1025.6,0.0,4.8,0.0,0.0,0.0,0.0,0.0
865.0,870,860,1085,0,5,0,0,0,0,0,1030.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0
855.0,860,850,959,0,6,0,0,0,0,0,1031.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
845.0,850,840,1058,0,6,0,0,0,0,0,1032.2,0.0,5.6,0.0,0.0,0.0,0.0,0.0
835.0,840,830,1036,0,7,0,0,0,0,0,1064.6,0.0,5.2,0.0,0.0,0.0,0.0,0.0
825.0,830,820,1023,0,4,0,0,0,0,0,1082.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0
815.0,820,810,1247,0,3,0,0,0,0,0,1082.2,0.0,4.4,0.0,0.0,0.0,0.0,0.0
805.0,810,800,1046,0,3,0,0,0,0,0,1109.2,0.0,3.8,0.0,0.0,0.0,0.0,0.0
795.0,800,790,1059,0,5,0,0,0,0,0,1125.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
785.0,790,780,1171,0,4,0,0,0,0,0,1108.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0
775.0,780,770,1102,0,5,0,0,0,0,0,,,,,,,,
765.0,770,760,1162,0,6,0,0,0,0,0,,,,,,,,
