mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
1205.0,1210,1200,7560,0,6,0,0,0,1,0,,,,,,,,
1195.0,1200,1190,7642,0,7,0,0,0,2,0,,,,,,,,
1185.0,1190,1180,7543,0,15,1,0,0,2,1,7476.8,0.0,12.2,0.2,0.0,0.0,1.6,0.2
1175.0,1180,1170,7147,0,24,0,0,0,1,0,7568.8,0.0,12.0,0.2,0.0,0.0,2.0,0.2
1165.0,1170,1160,7492,0,9,0,0,0,2,0,7486.2,0.0,12.2,0.4,0.0,0.0,3.0,0.4
1155.0,1160,1150,8020,0,5,0,0,0,3,0,7544.8,0.0,11.2,0.4,0.0,0.0,3.8,0.2
1145.0,1150,1140,7229,0,8,1,0,0,7,1,7545.6,0.0,8.2,0.4,0.0,0.0,4.0,0.2
1135.0,1140,1130,7836,0,10,1,0,0,6,0,7627.2,0.0,8.2,0.6,0.0,0.0,4.0,0.2
1125.0,1130,1120,7151,0,9,0,0,0,2,0,7482.4,0.0,9.2,0.6,0.0,0.0,5.0,0.2
1115.0,1120,1110,7900,0,9,1,0,0,2,0,7629.0,0.0,11.6,0.6,0.0,0.0,4.2,0.0
1105.0,1110,1100,7296,0,10,0,0,0,8,0,7602.0,0.0,11.2,0.6,0.0,0.0,3.2,0.0
1095.0,1100,1090,7962,0,20,1,0,0,3,0,7632.6,0.0,12.4,0.8,0.0,0.0,3.8,0.0
1085.0,1090,1080,7701,0,8,1,0,0,1,0,7419.8,0.0,11.8,0.6,0.0,0.0,3.8,0.0
1075.0,1080,1070,7304,0,15,1,0,0,5,0,7259.6,0.0,12.2,0.6,0.0,0.0,2.8,0.0
1065.0,1070,1060,6836,0,6,0,0,0,2,0,7090.4,0.0,10.6,0.4,0.0,0.0,2.4,0.4
1055.0,1060,1050,6495,0,12,0,0,0,3,0,7037.8,0.0,10.4,0.2,0.0,0.0,2.6,0.4
1045.0,1050,1040,7116,0,12,0,0,0,1,2,7126.0,0.0,10.4,0.0,0.0,0.0,2.0,0.4
1035.0,1040,1030,7438,0,7,0,0,0,2,0,7157.6,0.0,11.6,0.0,0.0,0.0,1.8,0.4
1025.0,1030,1020,7745,0,15,0,0,0,2,0,7348.4,0.0,11.4,0.2,0.0,0.0,1.4,0.4
1015.0,1020,1010,6994,0,12,0,0,0,1,0,7524.0,0.0,11.8,0.6,0.0,0.0,1.4,0.0
1005.0,1010,1000,7449,0,11,1,0,0,1,0,7568.8,0.2,11.4,1.0,0.0,0.0,1.0,0.0
995.0,1000,990,7994,0,14,2,0,0,1,0,7728.8,0.2,12.2,1.0,0.0,0.0,1.0,0.2
985.0,990,980,7662,1,5,2,0,0,0,0,8010.6,0.6,11.6,1.2,0.0,0.0,1.0,0.4
975.0,980,970,8545,0,19,0,0,0,2,1,8237.2,0.6,12.6,1.0,0.0,0.0,1.2,0.4
965.0,970,960,8403,2,9,1,0,0,1,1,8277.6,0.6,13.0,0.6,0.0,0.0,1.0,0.4
955.0,960,950,8582,0,16,0,0,0,2,0,8265.8,0.4,15.4,0.2,0.0,0.0,1.0,0.4
945.0,950,940,8196,0,16,0,0,0,0,0,8121.6,0.4,14.8,0.2,0.0,0.0,0.6,0.2
935.0,940,930,7603,0,17,0,0,0,0,0,7886.4,0.0,15.0,0.0,0.0,0.0,0.6,0.0
925.0,930,920,7824,0,16,0,0,0,0,0,7752.2,0.2,15.0,0.0,0.0,0.0,0.2,0.0
915.0,920,910,7227,0,10,0,0,0,1,0,7746.4,0.2,13.6,0.2,0.0,0.0,0.2,0.0
905.0,910,900,7911,1,16,0,0,0,0,0,7791.6,0.2,12.6,0.2,0.0,0.0,0.4,0.0
895.0,900,890,8167,0,9,1,0,0,0,0,7759.0,0.2,12.2,0.2,0.0,0.0,1.2,0.4
885.0,890,880,7829,0,12,0,0,0,1,0,7813.2,0.2,13.0,0.4,0.0,0.0,1.6,0.4
875.0,880,870,7661,0,14,0,0,0,4,2,7667.0,0.0,12.0,0.4,0.0,0.0,1.6,0.4
865.0,870,860,7498,0,14,1,0,0,3,0,7533.2,0.0,12.8,0.2,0.0,0.0,2.2,0.4
855.0,860,850,7180,0,11,0,0,0,0,0,7504.2,0.4,13.4,0.4,0.0,0.0,2.6,0.4
845.0,850,840,7498,0,13,0,0,0,3,0,7391.8,0.4,13.8,0.4,0.0,0.0,2.0,0.0
835.0,840,830,7684,2,15,1,0,0,3,0,7381.0,0.6,13.2,0.4,0.0,0.0,2.2,0.0
825.0,830,820,7099,0,16,0,0,0,1,0,7439.2,0.6,12.8,0.6,0.0,0.0,2.4,0.0
815.0,820,810,7444,1,11,1,0,0,4,0,7456.4,0.8,12.2,0.6,0.0,0.0,1.8,0.0
805.0,810,800,7471,0,9,1,0,0,1,0,7488.4,0.4,12.0,0.4,0.0,0.0,1.2,0.0
795.0,800,790,7584,1,10,0,0,0,0,0,7653.2,0.4,12.2,0.6,0.0,0.0,2.0,0.0
785.0,790,780,7844,0,14,0,0,0,0,0,7605.0,0.4,13.6,0.6,0.0,0.0,1.6,0.0
775.0,780,770,7923,0,17,1,0,0,5,0,,,,,,,,
765.0,770,760,7203,1,18,1,0,0,2,0,,,,,,,,
