after,before,total,deadass,def,defo,periodt,periot,stan,thot
1210,1200,18851,1,41,1,0,0,2,0
1200,1190,18075,0,40,2,0,0,2,2
1190,1180,19194,0,41,1,0,0,2,0
1180,1170,17149,0,31,0,0,0,4,0
1170,1160,19114,1,41,2,0,0,1,0
1160,1150,19133,0,46,1,0,0,2,0
1150,1140,19402,0,47,2,0,0,0,1
1140,1130,18922,0,45,5,0,0,1,1
1130,1120,18813,0,47,1,0,0,3,7
1120,1110,18922,0,43,2,0,0,2,0
1110,1100,18167,0,30,0,0,0,3,1
1100,1090,19760,0,37,0,0,0,2,1
1090,1080,19732,0,39,0,0,0,2,2
1080,1070,18721,0,42,2,0,0,1,1
1070,1060,18035,0,37,1,0,0,12,0
1060,1050,16546,1,28,1,0,0,2,0
1050,1040,17108,1,48,3,0,0,1,0
1040,1030,15078,0,27,1,0,0,1,0
1030,1020,15852,0,26,1,0,0,10,1
1020,1010,15103,0,33,0,0,0,0,0
1010,1000,16667,0,31,0,0,0,2,0
1000,990,16566,1,40,0,0,0,0,2
990,980,16782,1,34,2,0,0,2,2
980,970,17674,1,40,2,0,0,4,1
970,960,17241,0,37,1,0,0,1,0
960,950,17327,0,32,2,0,0,0,2
950,940,16335,1,43,1,0,0,1,2
940,930,15792,0,32,3,0,0,3,0
930,920,16257,1,43,2,0,0,2,1
920,910,15065,1,31,1,0,0,3,0
910,900,14929,0,33,1,0,0,3,0
900,890,15452,1,26,0,0,0,0,1
890,880,15384,1,36,0,0,0,1,1
880,870,15409,0,29,2,0,0,0,0
870,860,15037,0,39,4,0,0,0,3
860,850,15978,1,37,5,0,0,2,0
850,840,15558,1,37,5,0,0,0,0
840,830,15867,0,30,3,0,0,1,1
830,820,15164,0,33,6,0,0,1,1
820,810,16295,0,43,1,0,0,0,1
810,800,16250,0,39,3,0,0,2,1
800,790,15698,0,31,3,0,0,1,1
790,780,17007,0,44,2,0,0,0,1
780,770,15485,0,42,3,0,0,5,4
770,760,16813,0,33,0,0,0,4,1
