mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
1205.0,1210,1200,14410,0,10,0,0,0,1,0,,,,,,,,
1195.0,1200,1190,14483,0,8,1,0,0,1,0,,,,,,,,
1185.0,1190,1180,12494,0,8,0,0,0,0,0,13460.2,0.0,8.0,0.2,0.0,0.0,1.0,0.0
1175.0,1180,1170,14477,0,8,0,0,0,3,0,13243.2,0.0,6.8,0.2,0.0,0.0,1.0,0.0
1165.0,1170,1160,11437,0,6,0,0,0,0,0,13022.6,0.0,6.2,0.0,0.0,0.0,1.0,0.0
1155.0,1160,1150,13325,0,4,0,0,0,1,0,13081.2,0.0,5.8,0.4,0.0,0.0,1.0,0.0
1145.0,1150,1140,13380,0,5,0,0,0,1,0,13169.6,0.0,5.2,0.6,0.0,0.0,0.6,0.0
1135.0,1140,1130,12787,0,6,2,0,0,0,0,14311.2,0.0,5.4,0.8,0.0,0.0,1.6,0.0
1125.0,1130,1120,14919,0,5,1,0,0,1,0,14580.4,0.0,6.8,1.2,0.0,0.0,2.2,0.0
1115.0,1120,1110,17145,0,7,1,0,0,5,0,15055.0,0.0,7.8,1.4,0.0,0.0,2.6,0.4
1105.0,1110,1100,14671,0,11,2,0,0,4,0,15498.4,0.0,8.6,1.2,0.0,0.0,2.8,0.6
1095.0,1100,1090,15753,0,10,1,0,0,3,2,15450.2,0.0,9.2,1.0,0.0,0.0,3.4,0.6
1085.0,1090,1080,15004,0,10,1,0,0,1,1,15160.8,0.0,10.4,0.8,0.0,0.0,2.4,0.6
1075.0,1080,1070,14678,0,8,0,0,0,4,0,15330.8,0.0,10.6,0.6,0.0,0.0,1.6,0.6
1065.0,1070,1060,15698,0,13,0,0,0,0,0,15538.2,0.0,9.4,0.4,0.0,0.0,1.2,0.4
1055.0,1060,1050,15521,0,12,1,0,0,0,0,15120.8,0.0,8.2,0.2,0.0,0.0,1.4,0.2
1045.0,1050,1040,16790,0,4,0,0,0,1,1,14714.0,0.0,7.8,0.2,0.0,0.0,1.0,0.2
1035.0,1040,1030,12917,0,4,0,0,0,2,0,14570.2,0.0,6.2,0.4,0.0,0.0,1.2,0.2
1025.0,1030,1020,12644,0,6,0,0,0,2,0,14715.2,0.0,5.2,0.4,0.0,0.0,1.4,0.4
1015.0,1020,1010,14979,0,5,1,0,0,1,0,14579.6,0.4,6.2,0.4,0.0,0.0,1.4,0.2
1005.0,1010,1000,16246,0,7,1,0,0,1,1,15001.8,0.4,7.4,0.6,0.0,0.0,1.4,0.2
995.0,1000,990,16112,2,9,0,0,0,1,0,15828.2,0.4,7.2,0.6,0.0,0.0,1.0,0.2
985.0,990,980,15028,0,10,1,0,0,2,0,16246.6,0.4,7.4,0.4,0.0,0.0,1.0,0.2
975.0,980,970,16776,0,5,0,0,0,0,0,15946.8,0.8,7.4,0.2,0.0,0.0,1.0,0.2
965.0,970,960,17071,0,6,0,0,0,1,0,16082.2,0.6,6.6,0.2,0.0,0.0,1.0,0.4
955.0,960,950,14747,2,7,0,0,0,1,1,15634.4,0.6,6.8,0.0,0.0,0.0,0.6,0.4
945.0,950,940,16789,1,5,0,0,0,1,1,14890.2,0.6,7.2,0.0,0.0,0.0,0.6,0.4
935.0,940,930,12789,0,11,0,0,0,0,0,13206.8,0.6,7.2,0.2,0.0,0.0,0.4,0.4
925.0,930,920,13055,0,7,0,0,0,0,0,11848.0,0.4,6.6,0.4,0.0,0.0,0.4,0.2
915.0,920,910,8654,0,6,1,0,0,0,0,10304.2,0.2,6.0,0.4,0.0,0.0,0.2,0.0
905.0,910,900,7953,1,4,1,0,0,1,0,10400.2,0.2,4.4,0.4,0.0,0.0,2.2,0.0
895.0,900,890,9070,0,2,0,0,0,0,0,9786.2,0.4,4.0,0.4,0.0,0.0,2.2,0.0
885.0,890,880,13269,0,3,0,0,0,10,0,9840.8,0.6,3.4,0.4,0.0,0.0,2.4,0.0
875.0,880,870,9985,1,5,0,0,0,0,0,9985.4,0.4,3.6,0.2,0.0,0.0,2.2,0.0
865.0,870,860,8927,1,3,1,0,0,1,0,10162.6,0.4,3.8,0.4,0.0,0.0,2.2,0.0
855.0,860,850,8676,0,5,0,0,0,0,0,9498.6,0.4,4.8,0.6,0.0,0.0,0.2,0.0
845.0,850,840,9956,0,3,1,0,0,0,0,9191.4,0.2,4.8,0.6,0.0,0.0,0.4,0.0
835.0,840,830,9949,0,8,1,0,0,0,0,9096.0,0.0,5.2,0.6,0.0,0.0,0.2,0.0
825.0,830,820,8449,0,5,0,0,0,1,0,9737.2,0.2,5.2,0.6,0.0,0.0,0.2,0.0
815.0,820,810,8450,0,5,1,0,0,0,0,10044.0,0.4,5.8,0.4,0.0,0.0,0.2,0.0
805.0,810,800,11882,1,5,0,0,0,0,0,9783.8,0.4,4.6,0.2,0.0,0.0,0.4,0.0
795.0,800,790,11490,1,6,0,0,0,0,0,10311.4,0.4,4.2,0.4,0.0,0.0,0.4,0.0
785.0,790,780,8648,0,2,0,0,0,1,0,12312.2,0.6,4.8,0.2,0.0,0.0,0.8,0.0
775.0,780,770,11087,0,3,1,0,0,1,0,,,,,,,,
765.0,770,760,18454,1,8,0,0,0,2,0,,,,,,,,
